number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: LM , initial lambda: 0.001000 , solve equations method: PCG-BW-10

successful step! iteration = 0 , error before = 45352606.330484 , error next = 338111.824927 , error change = 45014494.505557 , lambda = 0.000100 , time consumption = 0.477528s

successful step! iteration = 1 , error before = 338111.824927 , error next = 105753.954522 , error change = 232357.870405 , lambda = 0.000010 , time consumption = 0.468637s

successful step! iteration = 2 , error before = 105753.954522 , error next = 21106.078088 , error change = 84647.876434 , lambda = 0.000001 , time consumption = 0.468106s

successful step! iteration = 3 , error before = 21106.078088 , error next = 19092.225769 , error change = 2013.852319 , lambda = 0.000000 , time consumption = 0.469234s

successful step! iteration = 4 , error before = 19092.225769 , error next = 19089.346224 , error change = 2.879544 , lambda = 0.000000 , time consumption = 0.465300s

successful step! iteration = 5 , error before = 19089.346224 , error next = 19089.346145 , error change = 0.000079 , lambda = 0.000000 , time consumption = 0.467561s

successful step! iteration = 6 , error before = 19089.346145 , error next = 19089.346145 , error change = 0.000000 , lambda = 0.000000 , time consumption = 0.473752s

initial error = 45352606.330484 , final error = 19089.346145 , successful iterations/total iterations = 7/7 , total error change = 45333516.984339 , total time consumption = 3.289906s , average steps = 17.714286
