number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-SSOR

successful step! iteration = 698 , error before = 21437.493578 , error next = 21410.438031 , error change = 27.055547 , lambda = 0.200000 , time consumption = 0.467075s

unsuccessful step! iteration = 699 , error before = 21410.438031 , error next = 21444.532599 , error change = -34.094567 , lambda = 2.000000 , time consumption = 0.466254s

successful step! iteration = 700 , error before = 21410.438031 , error next = 21383.687969 , error change = 26.750062 , lambda = 0.200000 , time consumption = 0.469093s

unsuccessful step! iteration = 701 , error before = 21383.687969 , error next = 21417.397625 , error change = -33.709657 , lambda = 2.000000 , time consumption = 0.463309s

successful step! iteration = 702 , error before = 21383.687969 , error next = 21357.240048 , error change = 26.447921 , lambda = 0.200000 , time consumption = 0.462398s

unsuccessful step! iteration = 703 , error before = 21357.240048 , error next = 21390.569005 , error change = -33.328958 , lambda = 2.000000 , time consumption = 0.495094s

successful step! iteration = 704 , error before = 21357.240048 , error next = 21331.090959 , error change = 26.149089 , lambda = 0.200000 , time consumption = 0.472964s

unsuccessful step! iteration = 705 , error before = 21331.090959 , error next = 21364.043386 , error change = -32.952427 , lambda = 2.000000 , time consumption = 0.470773s

successful step! iteration = 706 , error before = 21331.090959 , error next = 21305.237429 , error change = 25.853530 , lambda = 0.200000 , time consumption = 0.506403s

unsuccessful step! iteration = 707 , error before = 21305.237429 , error next = 21337.817449 , error change = -32.580020 , lambda = 2.000000 , time consumption = 0.468044s

successful step! iteration = 708 , error before = 21305.237429 , error next = 21279.676218 , error change = 25.561211 , lambda = 0.200000 , time consumption = 0.472095s

unsuccessful step! iteration = 709 , error before = 21279.676218 , error next = 21311.887913 , error change = -32.211695 , lambda = 2.000000 , time consumption = 0.489395s

successful step! iteration = 710 , error before = 21279.676218 , error next = 21254.404119 , error change = 25.272099 , lambda = 0.200000 , time consumption = 0.474388s

unsuccessful step! iteration = 711 , error before = 21254.404119 , error next = 21286.251528 , error change = -31.847409 , lambda = 2.000000 , time consumption = 0.465055s

successful step! iteration = 712 , error before = 21254.404119 , error next = 21229.417960 , error change = 24.986159 , lambda = 0.200000 , time consumption = 0.484828s

unsuccessful step! iteration = 713 , error before = 21229.417960 , error next = 21260.905080 , error change = -31.487119 , lambda = 2.000000 , time consumption = 0.458545s

successful step! iteration = 714 , error before = 21229.417960 , error next = 21204.714602 , error change = 24.703358 , lambda = 0.200000 , time consumption = 0.457360s

unsuccessful step! iteration = 715 , error before = 21204.714602 , error next = 21235.845387 , error change = -31.130785 , lambda = 2.000000 , time consumption = 0.478774s

successful step! iteration = 716 , error before = 21204.714602 , error next = 21180.290938 , error change = 24.423664 , lambda = 0.200000 , time consumption = 0.452930s

unsuccessful step! iteration = 717 , error before = 21180.290938 , error next = 21211.069302 , error change = -30.778364 , lambda = 2.000000 , time consumption = 0.455195s

successful step! iteration = 718 , error before = 21180.290938 , error next = 21156.143894 , error change = 24.147044 , lambda = 0.200000 , time consumption = 0.452753s

unsuccessful step! iteration = 719 , error before = 21156.143894 , error next = 21186.573709 , error change = -30.429815 , lambda = 2.000000 , time consumption = 0.454305s

successful step! iteration = 720 , error before = 21156.143894 , error next = 21132.270429 , error change = 23.873465 , lambda = 0.200000 , time consumption = 0.472738s

unsuccessful step! iteration = 721 , error before = 21132.270429 , error next = 21162.355527 , error change = -30.085098 , lambda = 2.000000 , time consumption = 0.466032s

successful step! iteration = 722 , error before = 21132.270429 , error next = 21108.667532 , error change = 23.602897 , lambda = 0.200000 , time consumption = 0.456753s

unsuccessful step! iteration = 723 , error before = 21108.667532 , error next = 21138.411705 , error change = -29.744173 , lambda = 2.000000 , time consumption = 0.459226s

successful step! iteration = 724 , error before = 21108.667532 , error next = 21085.332225 , error change = 23.335307 , lambda = 0.200000 , time consumption = 0.455401s

unsuccessful step! iteration = 725 , error before = 21085.332225 , error next = 21114.739226 , error change = -29.407000 , lambda = 2.000000 , time consumption = 0.456427s

successful step! iteration = 726 , error before = 21085.332225 , error next = 21062.261562 , error change = 23.070663 , lambda = 0.200000 , time consumption = 0.460590s

unsuccessful step! iteration = 727 , error before = 21062.261562 , error next = 21091.335102 , error change = -29.073540 , lambda = 2.000000 , time consumption = 0.460802s

successful step! iteration = 728 , error before = 21062.261562 , error next = 21039.452627 , error change = 22.808936 , lambda = 0.200000 , time consumption = 0.459735s

unsuccessful step! iteration = 729 , error before = 21039.452627 , error next = 21068.196380 , error change = -28.743753 , lambda = 2.000000 , time consumption = 0.458481s

successful step! iteration = 730 , error before = 21039.452627 , error next = 21016.902533 , error change = 22.550093 , lambda = 0.200000 , time consumption = 0.462703s

unsuccessful step! iteration = 731 , error before = 21016.902533 , error next = 21045.320134 , error change = -28.417601 , lambda = 2.000000 , time consumption = 0.463997s

successful step! iteration = 732 , error before = 21016.902533 , error next = 20994.608427 , error change = 22.294106 , lambda = 0.200000 , time consumption = 0.466904s

unsuccessful step! iteration = 733 , error before = 20994.608427 , error next = 21022.703472 , error change = -28.095045 , lambda = 2.000000 , time consumption = 0.460874s

successful step! iteration = 734 , error before = 20994.608427 , error next = 20972.567484 , error change = 22.040943 , lambda = 0.200000 , time consumption = 0.479849s

unsuccessful step! iteration = 735 , error before = 20972.567484 , error next = 21000.343532 , error change = -27.776048 , lambda = 2.000000 , time consumption = 0.458180s

successful step! iteration = 736 , error before = 20972.567484 , error next = 20950.776908 , error change = 21.790576 , lambda = 0.200000 , time consumption = 0.475789s

unsuccessful step! iteration = 737 , error before = 20950.776908 , error next = 20978.237480 , error change = -27.460572 , lambda = 2.000000 , time consumption = 0.465449s

successful step! iteration = 738 , error before = 20950.776908 , error next = 20929.233935 , error change = 21.542973 , lambda = 0.200000 , time consumption = 0.461281s

unsuccessful step! iteration = 739 , error before = 20929.233935 , error next = 20956.382515 , error change = -27.148580 , lambda = 2.000000 , time consumption = 0.465491s

successful step! iteration = 740 , error before = 20929.233935 , error next = 20907.935827 , error change = 21.298107 , lambda = 0.200000 , time consumption = 0.458326s

unsuccessful step! iteration = 741 , error before = 20907.935827 , error next = 20934.775863 , error change = -26.840035 , lambda = 2.000000 , time consumption = 0.459197s

successful step! iteration = 742 , error before = 20907.935827 , error next = 20886.879879 , error change = 21.055948 , lambda = 0.200000 , time consumption = 0.484743s

unsuccessful step! iteration = 743 , error before = 20886.879879 , error next = 20913.414780 , error change = -26.534901 , lambda = 2.000000 , time consumption = 0.468390s

successful step! iteration = 744 , error before = 20886.879879 , error next = 20866.063411 , error change = 20.816468 , lambda = 0.200000 , time consumption = 0.471059s

unsuccessful step! iteration = 745 , error before = 20866.063411 , error next = 20892.296552 , error change = -26.233141 , lambda = 2.000000 , time consumption = 0.466196s

successful step! iteration = 746 , error before = 20866.063411 , error next = 20845.483772 , error change = 20.579638 , lambda = 0.200000 , time consumption = 0.485085s

unsuccessful step! iteration = 747 , error before = 20845.483772 , error next = 20871.418493 , error change = -25.934721 , lambda = 2.000000 , time consumption = 0.464296s

successful step! iteration = 748 , error before = 20845.483772 , error next = 20825.138342 , error change = 20.345431 , lambda = 0.200000 , time consumption = 0.468314s

unsuccessful step! iteration = 749 , error before = 20825.138342 , error next = 20850.777945 , error change = -25.639603 , lambda = 2.000000 , time consumption = 0.471178s

successful step! iteration = 750 , error before = 20825.138342 , error next = 20805.024525 , error change = 20.113817 , lambda = 0.200000 , time consumption = 0.472347s

unsuccessful step! iteration = 751 , error before = 20805.024525 , error next = 20830.372279 , error change = -25.347755 , lambda = 2.000000 , time consumption = 0.476437s

successful step! iteration = 752 , error before = 20805.024525 , error next = 20785.139754 , error change = 19.884770 , lambda = 0.200000 , time consumption = 0.473352s

unsuccessful step! iteration = 753 , error before = 20785.139754 , error next = 20810.198894 , error change = -25.059140 , lambda = 2.000000 , time consumption = 0.468440s

successful step! iteration = 754 , error before = 20785.139754 , error next = 20765.481491 , error change = 19.658263 , lambda = 0.200000 , time consumption = 0.465546s

unsuccessful step! iteration = 755 , error before = 20765.481491 , error next = 20790.255215 , error change = -24.773724 , lambda = 2.000000 , time consumption = 0.473247s

successful step! iteration = 756 , error before = 20765.481491 , error next = 20746.047222 , error change = 19.434269 , lambda = 0.200000 , time consumption = 0.474079s

unsuccessful step! iteration = 757 , error before = 20746.047222 , error next = 20770.538696 , error change = -24.491474 , lambda = 2.000000 , time consumption = 0.486021s

successful step! iteration = 758 , error before = 20746.047222 , error next = 20726.834462 , error change = 19.212760 , lambda = 0.200000 , time consumption = 0.474831s

unsuccessful step! iteration = 759 , error before = 20726.834462 , error next = 20751.046818 , error change = -24.212355 , lambda = 2.000000 , time consumption = 0.466687s

successful step! iteration = 760 , error before = 20726.834462 , error next = 20707.840752 , error change = 18.993711 , lambda = 0.200000 , time consumption = 0.466631s

unsuccessful step! iteration = 761 , error before = 20707.840752 , error next = 20731.777087 , error change = -23.936335 , lambda = 2.000000 , time consumption = 0.463986s

successful step! iteration = 762 , error before = 20707.840752 , error next = 20689.063658 , error change = 18.777094 , lambda = 0.200000 , time consumption = 0.462458s

unsuccessful step! iteration = 763 , error before = 20689.063658 , error next = 20712.727039 , error change = -23.663381 , lambda = 2.000000 , time consumption = 0.454909s

successful step! iteration = 764 , error before = 20689.063658 , error next = 20670.500773 , error change = 18.562885 , lambda = 0.200000 , time consumption = 0.456342s

unsuccessful step! iteration = 765 , error before = 20670.500773 , error next = 20693.894232 , error change = -23.393459 , lambda = 2.000000 , time consumption = 0.456927s

successful step! iteration = 766 , error before = 20670.500773 , error next = 20652.149715 , error change = 18.351058 , lambda = 0.200000 , time consumption = 0.451288s

unsuccessful step! iteration = 767 , error before = 20652.149715 , error next = 20675.276253 , error change = -23.126538 , lambda = 2.000000 , time consumption = 0.455684s

successful step! iteration = 768 , error before = 20652.149715 , error next = 20634.008129 , error change = 18.141586 , lambda = 0.200000 , time consumption = 0.463626s

unsuccessful step! iteration = 769 , error before = 20634.008129 , error next = 20656.870713 , error change = -22.862585 , lambda = 2.000000 , time consumption = 0.497750s

successful step! iteration = 770 , error before = 20634.008129 , error next = 20616.073683 , error change = 17.934446 , lambda = 0.200000 , time consumption = 0.461434s

unsuccessful step! iteration = 771 , error before = 20616.073683 , error next = 20638.675251 , error change = -22.601568 , lambda = 2.000000 , time consumption = 0.468125s

successful step! iteration = 772 , error before = 20616.073683 , error next = 20598.344072 , error change = 17.729611 , lambda = 0.200000 , time consumption = 0.467083s

unsuccessful step! iteration = 773 , error before = 20598.344072 , error next = 20620.687529 , error change = -22.343457 , lambda = 2.000000 , time consumption = 0.463897s

successful step! iteration = 774 , error before = 20598.344072 , error next = 20580.817014 , error change = 17.527058 , lambda = 0.200000 , time consumption = 0.469580s

unsuccessful step! iteration = 775 , error before = 20580.817014 , error next = 20602.905234 , error change = -22.088221 , lambda = 2.000000 , time consumption = 0.469987s

successful step! iteration = 776 , error before = 20580.817014 , error next = 20563.490252 , error change = 17.326762 , lambda = 0.200000 , time consumption = 0.472167s

unsuccessful step! iteration = 777 , error before = 20563.490252 , error next = 20585.326079 , error change = -21.835827 , lambda = 2.000000 , time consumption = 0.468917s

successful step! iteration = 778 , error before = 20563.490252 , error next = 20546.361553 , error change = 17.128698 , lambda = 0.200000 , time consumption = 0.463933s

unsuccessful step! iteration = 779 , error before = 20546.361553 , error next = 20567.947800 , error change = -21.586247 , lambda = 2.000000 , time consumption = 0.473976s

successful step! iteration = 780 , error before = 20546.361553 , error next = 20529.428710 , error change = 16.932844 , lambda = 0.200000 , time consumption = 0.466411s

unsuccessful step! iteration = 781 , error before = 20529.428710 , error next = 20550.768159 , error change = -21.339450 , lambda = 2.000000 , time consumption = 0.476072s

successful step! iteration = 782 , error before = 20529.428710 , error next = 20512.689535 , error change = 16.739174 , lambda = 0.200000 , time consumption = 0.480860s

unsuccessful step! iteration = 783 , error before = 20512.689535 , error next = 20533.784941 , error change = -21.095405 , lambda = 2.000000 , time consumption = 0.476257s

successful step! iteration = 784 , error before = 20512.689535 , error next = 20496.141869 , error change = 16.547666 , lambda = 0.200000 , time consumption = 0.461701s

unsuccessful step! iteration = 785 , error before = 20496.141869 , error next = 20516.995953 , error change = -20.854084 , lambda = 2.000000 , time consumption = 0.466074s

successful step! iteration = 786 , error before = 20496.141869 , error next = 20479.783572 , error change = 16.358297 , lambda = 0.200000 , time consumption = 0.475693s

unsuccessful step! iteration = 787 , error before = 20479.783572 , error next = 20500.399030 , error change = -20.615458 , lambda = 2.000000 , time consumption = 0.462556s

successful step! iteration = 788 , error before = 20479.783572 , error next = 20463.612530 , error change = 16.171043 , lambda = 0.200000 , time consumption = 0.457072s

unsuccessful step! iteration = 789 , error before = 20463.612530 , error next = 20483.992026 , error change = -20.379496 , lambda = 2.000000 , time consumption = 0.461974s

successful step! iteration = 790 , error before = 20463.612530 , error next = 20447.626648 , error change = 15.985881 , lambda = 0.200000 , time consumption = 0.463740s

unsuccessful step! iteration = 791 , error before = 20447.626648 , error next = 20467.772820 , error change = -20.146171 , lambda = 2.000000 , time consumption = 0.472203s

successful step! iteration = 792 , error before = 20447.626648 , error next = 20431.823858 , error change = 15.802790 , lambda = 0.200000 , time consumption = 0.463400s

unsuccessful step! iteration = 793 , error before = 20431.823858 , error next = 20451.739313 , error change = -19.915455 , lambda = 2.000000 , time consumption = 0.461551s

successful step! iteration = 794 , error before = 20431.823858 , error next = 20416.202111 , error change = 15.621747 , lambda = 0.200000 , time consumption = 0.466511s

unsuccessful step! iteration = 795 , error before = 20416.202111 , error next = 20435.889430 , error change = -19.687318 , lambda = 2.000000 , time consumption = 0.469096s

successful step! iteration = 796 , error before = 20416.202111 , error next = 20400.759382 , error change = 15.442729 , lambda = 0.200000 , time consumption = 0.476544s

unsuccessful step! iteration = 797 , error before = 20400.759382 , error next = 20420.221116 , error change = -19.461734 , lambda = 2.000000 , time consumption = 0.469814s

successful step! iteration = 798 , error before = 20400.759382 , error next = 20385.493666 , error change = 15.265716 , lambda = 0.200000 , time consumption = 0.476068s

unsuccessful step! iteration = 799 , error before = 20385.493666 , error next = 20404.732341 , error change = -19.238675 , lambda = 2.000000 , time consumption = 0.471994s

successful step! iteration = 800 , error before = 20385.493666 , error next = 20370.402982 , error change = 15.090685 , lambda = 0.200000 , time consumption = 0.476236s

unsuccessful step! iteration = 801 , error before = 20370.402982 , error next = 20389.421095 , error change = -19.018113 , lambda = 2.000000 , time consumption = 0.474293s

successful step! iteration = 802 , error before = 20370.402982 , error next = 20355.485367 , error change = 14.917614 , lambda = 0.200000 , time consumption = 0.474844s

unsuccessful step! iteration = 803 , error before = 20355.485367 , error next = 20374.285390 , error change = -18.800022 , lambda = 2.000000 , time consumption = 0.468158s

successful step! iteration = 804 , error before = 20355.485367 , error next = 20340.738884 , error change = 14.746484 , lambda = 0.200000 , time consumption = 0.472001s

unsuccessful step! iteration = 805 , error before = 20340.738884 , error next = 20359.323259 , error change = -18.584375 , lambda = 2.000000 , time consumption = 0.467308s

successful step! iteration = 806 , error before = 20340.738884 , error next = 20326.161612 , error change = 14.577272 , lambda = 0.200000 , time consumption = 0.466799s

unsuccessful step! iteration = 807 , error before = 20326.161612 , error next = 20344.532757 , error change = -18.371146 , lambda = 2.000000 , time consumption = 0.466497s

successful step! iteration = 808 , error before = 20326.161612 , error next = 20311.751653 , error change = 14.409958 , lambda = 0.200000 , time consumption = 0.469196s

unsuccessful step! iteration = 809 , error before = 20311.751653 , error next = 20329.911961 , error change = -18.160308 , lambda = 2.000000 , time consumption = 0.475449s

successful step! iteration = 810 , error before = 20311.751653 , error next = 20297.507131 , error change = 14.244522 , lambda = 0.200000 , time consumption = 0.465743s

unsuccessful step! iteration = 811 , error before = 20297.507131 , error next = 20315.458966 , error change = -17.951835 , lambda = 2.000000 , time consumption = 0.467508s

successful step! iteration = 812 , error before = 20297.507131 , error next = 20283.426189 , error change = 14.080943 , lambda = 0.200000 , time consumption = 0.468295s

unsuccessful step! iteration = 813 , error before = 20283.426189 , error next = 20301.171891 , error change = -17.745702 , lambda = 2.000000 , time consumption = 0.474439s

successful step! iteration = 814 , error before = 20283.426189 , error next = 20269.506988 , error change = 13.919201 , lambda = 0.200000 , time consumption = 0.471605s

unsuccessful step! iteration = 815 , error before = 20269.506988 , error next = 20287.048872 , error change = -17.541884 , lambda = 2.000000 , time consumption = 0.466271s

successful step! iteration = 816 , error before = 20269.506988 , error next = 20255.747713 , error change = 13.759275 , lambda = 0.200000 , time consumption = 0.474028s

unsuccessful step! iteration = 817 , error before = 20255.747713 , error next = 20273.088068 , error change = -17.340355 , lambda = 2.000000 , time consumption = 0.481260s

successful step! iteration = 818 , error before = 20255.747713 , error next = 20242.146565 , error change = 13.601148 , lambda = 0.200000 , time consumption = 0.467115s

unsuccessful step! iteration = 819 , error before = 20242.146565 , error next = 20259.287656 , error change = -17.141091 , lambda = 2.000000 , time consumption = 0.474326s

successful step! iteration = 820 , error before = 20242.146565 , error next = 20228.701767 , error change = 13.444798 , lambda = 0.200000 , time consumption = 0.469517s

unsuccessful step! iteration = 821 , error before = 20228.701767 , error next = 20245.645834 , error change = -16.944067 , lambda = 2.000000 , time consumption = 0.468226s

successful step! iteration = 822 , error before = 20228.701767 , error next = 20215.411561 , error change = 13.290206 , lambda = 0.200000 , time consumption = 0.550470s

unsuccessful step! iteration = 823 , error before = 20215.411561 , error next = 20232.160819 , error change = -16.749258 , lambda = 2.000000 , time consumption = 0.468631s

successful step! iteration = 824 , error before = 20215.411561 , error next = 20202.274207 , error change = 13.137354 , lambda = 0.200000 , time consumption = 0.462938s

unsuccessful step! iteration = 825 , error before = 20202.274207 , error next = 20218.830848 , error change = -16.556642 , lambda = 2.000000 , time consumption = 0.464853s

successful step! iteration = 826 , error before = 20202.274207 , error next = 20189.287984 , error change = 12.986223 , lambda = 0.200000 , time consumption = 0.471494s

unsuccessful step! iteration = 827 , error before = 20189.287984 , error next = 20205.654176 , error change = -16.366192 , lambda = 2.000000 , time consumption = 0.472361s

successful step! iteration = 828 , error before = 20189.287984 , error next = 20176.451190 , error change = 12.836793 , lambda = 0.200000 , time consumption = 0.467924s

unsuccessful step! iteration = 829 , error before = 20176.451190 , error next = 20192.629078 , error change = -16.177888 , lambda = 2.000000 , time consumption = 0.473732s

successful step! iteration = 830 , error before = 20176.451190 , error next = 20163.762144 , error change = 12.689047 , lambda = 0.200000 , time consumption = 0.468166s

unsuccessful step! iteration = 831 , error before = 20163.762144 , error next = 20179.753847 , error change = -15.991703 , lambda = 2.000000 , time consumption = 0.466031s

successful step! iteration = 832 , error before = 20163.762144 , error next = 20151.219178 , error change = 12.542965 , lambda = 0.200000 , time consumption = 0.469794s

unsuccessful step! iteration = 833 , error before = 20151.219178 , error next = 20167.026795 , error change = -15.807617 , lambda = 2.000000 , time consumption = 0.460667s

successful step! iteration = 834 , error before = 20151.219178 , error next = 20138.820648 , error change = 12.398530 , lambda = 0.200000 , time consumption = 0.461807s

unsuccessful step! iteration = 835 , error before = 20138.820648 , error next = 20154.446254 , error change = -15.625606 , lambda = 2.000000 , time consumption = 0.467440s

successful step! iteration = 836 , error before = 20138.820648 , error next = 20126.564924 , error change = 12.255724 , lambda = 0.200000 , time consumption = 0.465631s

unsuccessful step! iteration = 837 , error before = 20126.564924 , error next = 20142.010570 , error change = -15.445646 , lambda = 2.000000 , time consumption = 0.466413s

successful step! iteration = 838 , error before = 20126.564924 , error next = 20114.450394 , error change = 12.114529 , lambda = 0.200000 , time consumption = 0.463460s

unsuccessful step! iteration = 839 , error before = 20114.450394 , error next = 20129.718111 , error change = -15.267717 , lambda = 2.000000 , time consumption = 0.466969s

successful step! iteration = 840 , error before = 20114.450394 , error next = 20102.475467 , error change = 11.974928 , lambda = 0.200000 , time consumption = 0.468707s

unsuccessful step! iteration = 841 , error before = 20102.475467 , error next = 20117.567262 , error change = -15.091795 , lambda = 2.000000 , time consumption = 0.465968s

successful step! iteration = 842 , error before = 20102.475467 , error next = 20090.638565 , error change = 11.836902 , lambda = 0.200000 , time consumption = 0.481533s

unsuccessful step! iteration = 843 , error before = 20090.638565 , error next = 20105.556424 , error change = -14.917859 , lambda = 2.000000 , time consumption = 0.460321s

successful step! iteration = 844 , error before = 20090.638565 , error next = 20078.938129 , error change = 11.700435 , lambda = 0.200000 , time consumption = 0.461519s

unsuccessful step! iteration = 845 , error before = 20078.938129 , error next = 20093.684017 , error change = -14.745888 , lambda = 2.000000 , time consumption = 0.462345s

successful step! iteration = 846 , error before = 20078.938129 , error next = 20067.372620 , error change = 11.565510 , lambda = 0.200000 , time consumption = 0.458440s

unsuccessful step! iteration = 847 , error before = 20067.372620 , error next = 20081.948478 , error change = -14.575858 , lambda = 2.000000 , time consumption = 0.456695s

successful step! iteration = 848 , error before = 20067.372620 , error next = 20055.940510 , error change = 11.432110 , lambda = 0.200000 , time consumption = 0.460468s

unsuccessful step! iteration = 849 , error before = 20055.940510 , error next = 20070.348260 , error change = -14.407750 , lambda = 2.000000 , time consumption = 0.454574s

successful step! iteration = 850 , error before = 20055.940510 , error next = 20044.640293 , error change = 11.300217 , lambda = 0.200000 , time consumption = 0.470577s

unsuccessful step! iteration = 851 , error before = 20044.640293 , error next = 20058.881835 , error change = -14.241542 , lambda = 2.000000 , time consumption = 0.462492s

successful step! iteration = 852 , error before = 20044.640293 , error next = 20033.470476 , error change = 11.169817 , lambda = 0.200000 , time consumption = 0.471170s

unsuccessful step! iteration = 853 , error before = 20033.470476 , error next = 20047.547690 , error change = -14.077214 , lambda = 2.000000 , time consumption = 0.463604s

successful step! iteration = 854 , error before = 20033.470476 , error next = 20022.429585 , error change = 11.040891 , lambda = 0.200000 , time consumption = 0.469188s

unsuccessful step! iteration = 855 , error before = 20022.429585 , error next = 20036.344329 , error change = -13.914744 , lambda = 2.000000 , time consumption = 0.467124s

successful step! iteration = 856 , error before = 20022.429585 , error next = 20011.516160 , error change = 10.913425 , lambda = 0.200000 , time consumption = 0.467514s

unsuccessful step! iteration = 857 , error before = 20011.516160 , error next = 20025.270273 , error change = -13.754113 , lambda = 2.000000 , time consumption = 0.470275s

successful step! iteration = 858 , error before = 20011.516160 , error next = 20000.728758 , error change = 10.787402 , lambda = 0.200000 , time consumption = 0.472332s

unsuccessful step! iteration = 859 , error before = 20000.728758 , error next = 20014.324059 , error change = -13.595301 , lambda = 2.000000 , time consumption = 0.469065s

successful step! iteration = 860 , error before = 20000.728758 , error next = 19990.065952 , error change = 10.662806 , lambda = 0.200000 , time consumption = 0.470577s

unsuccessful step! iteration = 861 , error before = 19990.065952 , error next = 20003.504238 , error change = -13.438286 , lambda = 2.000000 , time consumption = 0.466999s

successful step! iteration = 862 , error before = 19990.065952 , error next = 19979.526331 , error change = 10.539621 , lambda = 0.200000 , time consumption = 0.476463s

unsuccessful step! iteration = 863 , error before = 19979.526331 , error next = 19992.809381 , error change = -13.283050 , lambda = 2.000000 , time consumption = 0.476413s

successful step! iteration = 864 , error before = 19979.526331 , error next = 19969.108498 , error change = 10.417833 , lambda = 0.200000 , time consumption = 0.476113s

unsuccessful step! iteration = 865 , error before = 19969.108498 , error next = 19982.238072 , error change = -13.129573 , lambda = 2.000000 , time consumption = 0.481641s

successful step! iteration = 866 , error before = 19969.108498 , error next = 19958.811074 , error change = 10.297425 , lambda = 0.200000 , time consumption = 0.469340s

unsuccessful step! iteration = 867 , error before = 19958.811074 , error next = 19971.788910 , error change = -12.977836 , lambda = 2.000000 , time consumption = 0.467151s

successful step! iteration = 868 , error before = 19958.811074 , error next = 19948.632691 , error change = 10.178382 , lambda = 0.200000 , time consumption = 0.467933s

unsuccessful step! iteration = 869 , error before = 19948.632691 , error next = 19961.460510 , error change = -12.827819 , lambda = 2.000000 , time consumption = 0.470516s

successful step! iteration = 870 , error before = 19948.632691 , error next = 19938.572001 , error change = 10.060690 , lambda = 0.200000 , time consumption = 0.497646s

unsuccessful step! iteration = 871 , error before = 19938.572001 , error next = 19951.251505 , error change = -12.679504 , lambda = 2.000000 , time consumption = 0.471928s

successful step! iteration = 872 , error before = 19938.572001 , error next = 19928.627667 , error change = 9.944334 , lambda = 0.200000 , time consumption = 0.486801s

unsuccessful step! iteration = 873 , error before = 19928.627667 , error next = 19941.160538 , error change = -12.532872 , lambda = 2.000000 , time consumption = 0.467133s

successful step! iteration = 874 , error before = 19928.627667 , error next = 19918.798368 , error change = 9.829298 , lambda = 0.200000 , time consumption = 0.466212s

unsuccessful step! iteration = 875 , error before = 19918.798368 , error next = 19931.186272 , error change = -12.387904 , lambda = 2.000000 , time consumption = 0.467948s

successful step! iteration = 876 , error before = 19918.798368 , error next = 19909.082799 , error change = 9.715569 , lambda = 0.200000 , time consumption = 0.466674s

unsuccessful step! iteration = 877 , error before = 19909.082799 , error next = 19921.327381 , error change = -12.244582 , lambda = 2.000000 , time consumption = 0.466375s

successful step! iteration = 878 , error before = 19909.082799 , error next = 19899.479667 , error change = 9.603132 , lambda = 0.200000 , time consumption = 0.476348s

unsuccessful step! iteration = 879 , error before = 19899.479667 , error next = 19911.582555 , error change = -12.102888 , lambda = 2.000000 , time consumption = 0.476158s

successful step! iteration = 880 , error before = 19899.479667 , error next = 19889.987696 , error change = 9.491972 , lambda = 0.200000 , time consumption = 0.469082s

unsuccessful step! iteration = 881 , error before = 19889.987696 , error next = 19901.950499 , error change = -11.962803 , lambda = 2.000000 , time consumption = 0.500915s

successful step! iteration = 882 , error before = 19889.987696 , error next = 19880.605620 , error change = 9.382075 , lambda = 0.200000 , time consumption = 0.465786s

unsuccessful step! iteration = 883 , error before = 19880.605620 , error next = 19892.429931 , error change = -11.824311 , lambda = 2.000000 , time consumption = 0.479251s

successful step! iteration = 884 , error before = 19880.605620 , error next = 19871.332192 , error change = 9.273428 , lambda = 0.200000 , time consumption = 0.480692s

unsuccessful step! iteration = 885 , error before = 19871.332192 , error next = 19883.019585 , error change = -11.687393 , lambda = 2.000000 , time consumption = 0.480705s

successful step! iteration = 886 , error before = 19871.332192 , error next = 19862.166175 , error change = 9.166017 , lambda = 0.200000 , time consumption = 0.476221s

unsuccessful step! iteration = 887 , error before = 19862.166175 , error next = 19873.718207 , error change = -11.552032 , lambda = 2.000000 , time consumption = 0.468685s

successful step! iteration = 888 , error before = 19862.166175 , error next = 19853.106347 , error change = 9.059828 , lambda = 0.200000 , time consumption = 0.465114s

unsuccessful step! iteration = 889 , error before = 19853.106347 , error next = 19864.524558 , error change = -11.418211 , lambda = 2.000000 , time consumption = 0.467738s

successful step! iteration = 890 , error before = 19853.106347 , error next = 19844.151499 , error change = 8.954847 , lambda = 0.200000 , time consumption = 0.463021s

unsuccessful step! iteration = 891 , error before = 19844.151499 , error next = 19855.437412 , error change = -11.285913 , lambda = 2.000000 , time consumption = 0.463043s

successful step! iteration = 892 , error before = 19844.151499 , error next = 19835.300438 , error change = 8.851062 , lambda = 0.200000 , time consumption = 0.469127s

unsuccessful step! iteration = 893 , error before = 19835.300438 , error next = 19846.455558 , error change = -11.155121 , lambda = 2.000000 , time consumption = 0.465873s

successful step! iteration = 894 , error before = 19835.300438 , error next = 19826.551979 , error change = 8.748458 , lambda = 0.200000 , time consumption = 0.464277s

unsuccessful step! iteration = 895 , error before = 19826.551979 , error next = 19837.577797 , error change = -11.025818 , lambda = 2.000000 , time consumption = 0.460783s

successful step! iteration = 896 , error before = 19826.551979 , error next = 19817.904956 , error change = 8.647023 , lambda = 0.200000 , time consumption = 0.457170s

