number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-BW-5

successful step! iteration = 0 , error before = 45352606.330484 , error next = 8492027.802487 , error change = 36860578.527997 , lambda = 0.200000 , time consumption = 0.499559s

unsuccessful step! iteration = 1 , error before = 8492027.802487 , error next = 193280169.507588 , error change = -184788141.705101 , lambda = 2.000000 , time consumption = 0.480228s

successful step! iteration = 2 , error before = 8492027.802487 , error next = 2342980.272066 , error change = 6149047.530421 , lambda = 0.200000 , time consumption = 0.471407s

unsuccessful step! iteration = 3 , error before = 2342980.272066 , error next = 11264064.980995 , error change = -8921084.708929 , lambda = 2.000000 , time consumption = 0.466008s

successful step! iteration = 4 , error before = 2342980.272066 , error next = 1000568.351540 , error change = 1342411.920526 , lambda = 0.200000 , time consumption = 0.470314s

unsuccessful step! iteration = 5 , error before = 1000568.351540 , error next = 4351185.822255 , error change = -3350617.470715 , lambda = 2.000000 , time consumption = 0.464842s

successful step! iteration = 6 , error before = 1000568.351540 , error next = 567119.189471 , error change = 433449.162069 , lambda = 0.200000 , time consumption = 0.471302s

unsuccessful step! iteration = 7 , error before = 567119.189471 , error next = 2013594.807138 , error change = -1446475.617667 , lambda = 2.000000 , time consumption = 0.465772s

successful step! iteration = 8 , error before = 567119.189471 , error next = 377878.669242 , error change = 189240.520229 , lambda = 0.200000 , time consumption = 0.465183s

unsuccessful step! iteration = 9 , error before = 377878.669242 , error next = 1038563.684826 , error change = -660685.015584 , lambda = 2.000000 , time consumption = 0.466276s

successful step! iteration = 10 , error before = 377878.669242 , error next = 281174.569846 , error change = 96704.099396 , lambda = 0.200000 , time consumption = 0.469181s

unsuccessful step! iteration = 11 , error before = 281174.569846 , error next = 598299.449380 , error change = -317124.879534 , lambda = 2.000000 , time consumption = 0.466073s

successful step! iteration = 12 , error before = 281174.569846 , error next = 227285.081962 , error change = 53889.487884 , lambda = 0.200000 , time consumption = 0.467900s

unsuccessful step! iteration = 13 , error before = 227285.081962 , error next = 387300.894439 , error change = -160015.812477 , lambda = 2.000000 , time consumption = 0.477764s

successful step! iteration = 14 , error before = 227285.081962 , error next = 195213.193466 , error change = 32071.888496 , lambda = 0.200000 , time consumption = 0.475826s

