number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-BW-5
unsuccessful step! iteration = 15 , error before = 195213.193466 , error next = 280392.074154 , error change = -85178.880687 , lambda = 2.000000 , time consumption = 0.482459s

successful step! iteration = 16 , error before = 195213.193466 , error next = 174905.070327 , error change = 20308.123139 , lambda = 0.200000 , time consumption = 0.466328s

unsuccessful step! iteration = 17 , error before = 174905.070327 , error next = 223003.859639 , error change = -48098.789312 , lambda = 2.000000 , time consumption = 0.468775s

successful step! iteration = 18 , error before = 174905.070327 , error next = 161231.650546 , error change = 13673.419781 , lambda = 0.200000 , time consumption = 0.471868s

unsuccessful step! iteration = 19 , error before = 161231.650546 , error next = 190206.418249 , error change = -28974.767703 , lambda = 2.000000 , time consumption = 0.466415s

successful step! iteration = 20 , error before = 161231.650546 , error next = 151464.804273 , error change = 9766.846272 , lambda = 0.200000 , time consumption = 0.470059s

unsuccessful step! iteration = 21 , error before = 151464.804273 , error next = 170151.437568 , error change = -18686.633295 , lambda = 2.000000 , time consumption = 0.472395s

successful step! iteration = 22 , error before = 151464.804273 , error next = 144101.141783 , error change = 7363.662490 , lambda = 0.200000 , time consumption = 0.465938s

unsuccessful step! iteration = 23 , error before = 144101.141783 , error next = 156998.358897 , error change = -12897.217114 , lambda = 2.000000 , time consumption = 0.466452s

successful step! iteration = 24 , error before = 144101.141783 , error next = 138283.384269 , error change = 5817.757514 , lambda = 0.200000 , time consumption = 0.479359s

unsuccessful step! iteration = 25 , error before = 138283.384269 , error next = 147763.184841 , error change = -9479.800572 , lambda = 2.000000 , time consumption = 0.467707s

successful step! iteration = 26 , error before = 138283.384269 , error next = 133505.523646 , error change = 4777.860622 , lambda = 0.200000 , time consumption = 0.469970s

unsuccessful step! iteration = 27 , error before = 133505.523646 , error next = 140864.868060 , error change = -7359.344413 , lambda = 2.000000 , time consumption = 0.466392s

successful step! iteration = 28 , error before = 133505.523646 , error next = 129458.205976 , error change = 4047.317671 , lambda = 0.200000 , time consumption = 0.465461s

unsuccessful step! iteration = 29 , error before = 129458.205976 , error next = 135433.594036 , error change = -5975.388061 , lambda = 2.000000 , time consumption = 0.470971s

successful step! iteration = 30 , error before = 129458.205976 , error next = 125945.450097 , error change = 3512.755879 , lambda = 0.200000 , time consumption = 0.470535s

unsuccessful step! iteration = 31 , error before = 125945.450097 , error next = 130971.780969 , error change = -5026.330873 , lambda = 2.000000 , time consumption = 0.469627s

successful step! iteration = 32 , error before = 125945.450097 , error next = 122838.595272 , error change = 3106.854825 , lambda = 0.200000 , time consumption = 0.468423s

unsuccessful step! iteration = 33 , error before = 122838.595272 , error next = 127183.250595 , error change = -4344.655323 , lambda = 2.000000 , time consumption = 0.474566s

successful step! iteration = 34 , error before = 122838.595272 , error next = 120050.158572 , error change = 2788.436700 , lambda = 0.200000 , time consumption = 0.470540s

unsuccessful step! iteration = 35 , error before = 120050.158572 , error next = 123884.184148 , error change = -3834.025577 , lambda = 2.000000 , time consumption = 0.470844s

successful step! iteration = 36 , error before = 120050.158572 , error next = 117518.600099 , error change = 2531.558473 , lambda = 0.200000 , time consumption = 0.474353s

unsuccessful step! iteration = 37 , error before = 117518.600099 , error next = 120955.842214 , error change = -3437.242115 , lambda = 2.000000 , time consumption = 0.497147s

successful step! iteration = 38 , error before = 117518.600099 , error next = 115199.210028 , error change = 2319.390071 , lambda = 0.200000 , time consumption = 0.477803s

unsuccessful step! iteration = 39 , error before = 115199.210028 , error next = 118318.374777 , error change = -3119.164749 , lambda = 2.000000 , time consumption = 0.476604s

successful step! iteration = 40 , error before = 115199.210028 , error next = 113058.514952 , error change = 2140.695076 , lambda = 0.200000 , time consumption = 0.471803s

unsuccessful step! iteration = 41 , error before = 113058.514952 , error next = 115916.094012 , error change = -2857.579060 , lambda = 2.000000 , time consumption = 0.468723s

successful step! iteration = 42 , error before = 113058.514952 , error next = 111070.756205 , error change = 1987.758747 , lambda = 0.200000 , time consumption = 0.468643s

unsuccessful step! iteration = 43 , error before = 111070.756205 , error next = 113708.614477 , error change = -2637.858272 , lambda = 2.000000 , time consumption = 0.467182s

successful step! iteration = 44 , error before = 111070.756205 , error next = 109215.616994 , error change = 1855.139210 , lambda = 0.200000 , time consumption = 0.468435s

unsuccessful step! iteration = 45 , error before = 109215.616994 , error next = 111665.728306 , error change = -2450.111311 , lambda = 2.000000 , time consumption = 0.471735s

successful step! iteration = 46 , error before = 109215.616994 , error next = 107476.719713 , error change = 1738.897282 , lambda = 0.200000 , time consumption = 0.466976s

unsuccessful step! iteration = 47 , error before = 107476.719713 , error next = 109764.197779 , error change = -2287.478066 , lambda = 2.000000 , time consumption = 0.465796s

successful step! iteration = 48 , error before = 107476.719713 , error next = 105840.608941 , error change = 1636.110771 , lambda = 0.200000 , time consumption = 0.468492s

unsuccessful step! iteration = 49 , error before = 105840.608941 , error next = 107985.614173 , error change = -2145.005231 , lambda = 2.000000 , time consumption = 0.475740s

successful step! iteration = 50 , error before = 105840.608941 , error next = 104296.047456 , error change = 1544.561485 , lambda = 0.200000 , time consumption = 0.476617s

unsuccessful step! iteration = 51 , error before = 104296.047456 , error next = 106315.109563 , error change = -2019.062106 , lambda = 2.000000 , time consumption = 0.464969s

successful step! iteration = 52 , error before = 104296.047456 , error next = 102833.518182 , error change = 1462.529274 , lambda = 0.200000 , time consumption = 0.467385s

unsuccessful step! iteration = 53 , error before = 102833.518182 , error next = 104740.418405 , error change = -1906.900223 , lambda = 2.000000 , time consumption = 0.463355s

successful step! iteration = 54 , error before = 102833.518182 , error next = 101444.864412 , error change = 1388.653770 , lambda = 0.200000 , time consumption = 0.474306s

unsuccessful step! iteration = 55 , error before = 101444.864412 , error next = 103251.263238 , error change = -1806.398826 , lambda = 2.000000 , time consumption = 0.468353s

successful step! iteration = 56 , error before = 101444.864412 , error next = 100123.024659 , error change = 1321.839753 , lambda = 0.200000 , time consumption = 0.470864s

unsuccessful step! iteration = 57 , error before = 100123.024659 , error next = 101838.909988 , error change = -1715.885329 , lambda = 2.000000 , time consumption = 0.464414s

successful step! iteration = 58 , error before = 100123.024659 , error next = 98861.833480 , error change = 1261.191179 , lambda = 0.200000 , time consumption = 0.467323s

unsuccessful step! iteration = 59 , error before = 98861.833480 , error next = 100495.849150 , error change = -1634.015670 , lambda = 2.000000 , time consumption = 0.473021s

successful step! iteration = 60 , error before = 98861.833480 , error next = 97655.869134 , error change = 1205.964346 , lambda = 0.200000 , time consumption = 0.468027s

unsuccessful step! iteration = 61 , error before = 97655.869134 , error next = 99215.560705 , error change = -1559.691571 , lambda = 2.000000 , time consumption = 0.468915s

successful step! iteration = 62 , error before = 97655.869134 , error next = 96500.335043 , error change = 1155.534092 , lambda = 0.200000 , time consumption = 0.468487s

unsuccessful step! iteration = 63 , error before = 96500.335043 , error next = 97992.337232 , error change = -1492.002189 , lambda = 2.000000 , time consumption = 0.468852s

successful step! iteration = 64 , error before = 96500.335043 , error next = 95390.966064 , error change = 1109.368978 , lambda = 0.200000 , time consumption = 0.467739s

unsuccessful step! iteration = 65 , error before = 95390.966064 , error next = 96821.148280 , error change = -1430.182216 , lambda = 2.000000 , time consumption = 0.468787s

successful step! iteration = 66 , error before = 95390.966064 , error next = 94323.953273 , error change = 1067.012792 , lambda = 0.200000 , time consumption = 0.467074s

unsuccessful step! iteration = 67 , error before = 94323.953273 , error next = 95697.534515 , error change = -1373.581242 , lambda = 2.000000 , time consumption = 0.467409s

successful step! iteration = 68 , error before = 94323.953273 , error next = 93295.882736 , error change = 1028.070536 , lambda = 0.200000 , time consumption = 0.465065s

unsuccessful step! iteration = 69 , error before = 93295.882736 , error next = 94617.523728 , error change = -1321.640991 , lambda = 2.000000 , time consumption = 0.469494s

successful step! iteration = 70 , error before = 93295.882736 , error next = 92303.685058 , error change = 992.197678 , lambda = 0.200000 , time consumption = 0.477863s

unsuccessful step! iteration = 71 , error before = 92303.685058 , error next = 93577.563179 , error change = -1273.878121 , lambda = 2.000000 , time consumption = 0.472294s

successful step! iteration = 72 , error before = 92303.685058 , error next = 91344.593291 , error change = 959.091766 , lambda = 0.200000 , time consumption = 0.470880s

unsuccessful step! iteration = 73 , error before = 91344.593291 , error next = 92574.464329 , error change = -1229.871038 , lambda = 2.000000 , time consumption = 0.475974s

successful step! iteration = 74 , error before = 91344.593291 , error next = 90416.107474 , error change = 928.485818 , lambda = 0.200000 , time consumption = 0.484349s

unsuccessful step! iteration = 75 , error before = 90416.107474 , error next = 91605.357108 , error change = -1189.249634 , lambda = 2.000000 , time consumption = 0.478929s

successful step! iteration = 76 , error before = 90416.107474 , error next = 89515.964441 , error change = 900.143032 , lambda = 0.200000 , time consumption = 0.472169s

unsuccessful step! iteration = 77 , error before = 89515.964441 , error next = 90667.651641 , error change = -1151.687200 , lambda = 2.000000 , time consumption = 0.480345s

successful step! iteration = 78 , error before = 89515.964441 , error next = 88642.111926 , error change = 873.852515 , lambda = 0.200000 , time consumption = 0.470936s

unsuccessful step! iteration = 79 , error before = 88642.111926 , error next = 89759.005879 , error change = -1116.893952 , lambda = 2.000000 , time consumption = 0.471379s

successful step! iteration = 80 , error before = 88642.111926 , error next = 87792.686152 , error change = 849.425774 , lambda = 0.200000 , time consumption = 0.468030s

unsuccessful step! iteration = 81 , error before = 87792.686152 , error next = 88877.297960 , error change = -1084.611808 , lambda = 2.000000 , time consumption = 0.468484s

successful step! iteration = 82 , error before = 87792.686152 , error next = 86965.992323 , error change = 826.693829 , lambda = 0.200000 , time consumption = 0.499122s

unsuccessful step! iteration = 83 , error before = 86965.992323 , error next = 88020.602423 , error change = -1054.610101 , lambda = 2.000000 , time consumption = 0.474281s

successful step! iteration = 84 , error before = 86965.992323 , error next = 86160.487532 , error change = 805.504791 , lambda = 0.200000 , time consumption = 0.469878s

unsuccessful step! iteration = 85 , error before = 86160.487532 , error next = 87187.169573 , error change = -1026.682041 , lambda = 2.000000 , time consumption = 0.468086s

successful step! iteration = 86 , error before = 86160.487532 , error next = 85374.765707 , error change = 785.721824 , lambda = 0.200000 , time consumption = 0.467858s

unsuccessful step! iteration = 87 , error before = 85374.765707 , error next = 86375.407469 , error change = -1000.641762 , lambda = 2.000000 , time consumption = 0.471837s

successful step! iteration = 88 , error before = 85374.765707 , error next = 84607.544295 , error change = 767.221413 , lambda = 0.200000 , time consumption = 0.475642s

unsuccessful step! iteration = 89 , error before = 84607.544295 , error next = 85583.866114 , error change = -976.321819 , lambda = 2.000000 , time consumption = 0.468806s

successful step! iteration = 90 , error before = 84607.544295 , error next = 83857.652418 , error change = 749.891876 , lambda = 0.200000 , time consumption = 0.466459s

unsuccessful step! iteration = 91 , error before = 83857.652418 , error next = 84811.223496 , error change = -953.571077 , lambda = 2.000000 , time consumption = 0.471250s

successful step! iteration = 92 , error before = 83857.652418 , error next = 83124.020329 , error change = 733.632089 , lambda = 0.200000 , time consumption = 0.483274s

unsuccessful step! iteration = 93 , error before = 83124.020329 , error next = 84056.273217 , error change = -932.252888 , lambda = 2.000000 , time consumption = 0.467292s

successful step! iteration = 94 , error before = 83124.020329 , error next = 82405.669965 , error change = 718.350365 , lambda = 0.200000 , time consumption = 0.479127s

unsuccessful step! iteration = 95 , error before = 82405.669965 , error next = 83317.913486 , error change = -912.243522 , lambda = 2.000000 , time consumption = 0.464437s

successful step! iteration = 96 , error before = 82405.669965 , error next = 81701.706479 , error change = 703.963485 , lambda = 0.200000 , time consumption = 0.464593s

unsuccessful step! iteration = 97 , error before = 81701.706479 , error next = 82595.137286 , error change = -893.430807 , lambda = 2.000000 , time consumption = 0.468855s

successful step! iteration = 98 , error before = 81701.706479 , error next = 81011.310632 , error change = 690.395847 , lambda = 0.200000 , time consumption = 0.464592s

unsuccessful step! iteration = 99 , error before = 81011.310632 , error next = 81887.023570 , error change = -875.712938 , lambda = 2.000000 , time consumption = 0.462383s

successful step! iteration = 100 , error before = 81011.310632 , error next = 80333.731925 , error change = 677.578707 , lambda = 0.200000 , time consumption = 0.464114s

unsuccessful step! iteration = 101 , error before = 80333.731925 , error next = 81192.729355 , error change = -858.997430 , lambda = 2.000000 , time consumption = 0.464025s

successful step! iteration = 102 , error before = 80333.731925 , error next = 79668.282410 , error change = 665.449515 , lambda = 0.200000 , time consumption = 0.467461s

unsuccessful step! iteration = 103 , error before = 79668.282410 , error next = 80511.482606 , error change = -843.200197 , lambda = 2.000000 , time consumption = 0.464570s

successful step! iteration = 104 , error before = 79668.282410 , error next = 79014.331089 , error change = 653.951321 , lambda = 0.200000 , time consumption = 0.484340s

unsuccessful step! iteration = 105 , error before = 79014.331089 , error next = 79842.575820 , error change = -828.244731 , lambda = 2.000000 , time consumption = 0.469604s

successful step! iteration = 106 , error before = 79014.331089 , error next = 78371.298848 , error change = 643.032241 , lambda = 0.200000 , time consumption = 0.468183s

unsuccessful step! iteration = 107 , error before = 78371.298848 , error next = 79185.360226 , error change = -814.061378 , lambda = 2.000000 , time consumption = 0.464469s

successful step! iteration = 108 , error before = 78371.298848 , error next = 77738.653856 , error change = 632.644992 , lambda = 0.200000 , time consumption = 0.470550s

unsuccessful step! iteration = 109 , error before = 77738.653856 , error next = 78539.240548 , error change = -800.586691 , lambda = 2.000000 , time consumption = 0.465797s

successful step! iteration = 110 , error before = 77738.653856 , error next = 77115.907401 , error change = 622.746455 , lambda = 0.200000 , time consumption = 0.470390s

unsuccessful step! iteration = 111 , error before = 77115.907401 , error next = 77903.670246 , error change = -787.762844 , lambda = 2.000000 , time consumption = 0.469124s

successful step! iteration = 112 , error before = 77115.907401 , error next = 76502.610099 , error change = 613.297302 , lambda = 0.200000 , time consumption = 0.477464s

unsuccessful step! iteration = 113 , error before = 76502.610099 , error next = 77278.147214 , error change = -775.537114 , lambda = 2.000000 , time consumption = 0.474773s

successful step! iteration = 114 , error before = 76502.610099 , error next = 75898.348452 , error change = 604.261647 , lambda = 0.200000 , time consumption = 0.479507s

unsuccessful step! iteration = 115 , error before = 75898.348452 , error next = 76662.209865 , error change = -763.861414 , lambda = 2.000000 , time consumption = 0.468693s

successful step! iteration = 116 , error before = 75898.348452 , error next = 75302.741716 , error change = 595.606736 , lambda = 0.200000 , time consumption = 0.467220s

unsuccessful step! iteration = 117 , error before = 75302.741716 , error next = 76055.433582 , error change = -752.691866 , lambda = 2.000000 , time consumption = 0.466416s

successful step! iteration = 118 , error before = 75302.741716 , error next = 74715.439054 , error change = 587.302662 , lambda = 0.200000 , time consumption = 0.467642s

unsuccessful step! iteration = 119 , error before = 74715.439054 , error next = 75457.427481 , error change = -741.988427 , lambda = 2.000000 , time consumption = 0.465567s

successful step! iteration = 120 , error before = 74715.439054 , error next = 74136.116936 , error change = 579.322118 , lambda = 0.200000 , time consumption = 0.465984s

unsuccessful step! iteration = 121 , error before = 74136.116936 , error next = 74867.831474 , error change = -731.714539 , lambda = 2.000000 , time consumption = 0.487619s

successful step! iteration = 122 , error before = 74136.116936 , error next = 73564.476776 , error change = 571.640160 , lambda = 0.200000 , time consumption = 0.466562s

unsuccessful step! iteration = 123 , error before = 73564.476776 , error next = 74286.313594 , error change = -721.836818 , lambda = 2.000000 , time consumption = 0.468326s

successful step! iteration = 124 , error before = 73564.476776 , error next = 73000.242779 , error change = 564.233997 , lambda = 0.200000 , time consumption = 0.466603s

unsuccessful step! iteration = 125 , error before = 73000.242779 , error next = 73712.567554 , error change = -712.324775 , lambda = 2.000000 , time consumption = 0.466055s

successful step! iteration = 126 , error before = 73000.242779 , error next = 72443.159972 , error change = 557.082807 , lambda = 0.200000 , time consumption = 0.459858s

unsuccessful step! iteration = 127 , error before = 72443.159972 , error next = 73146.310526 , error change = -703.150554 , lambda = 2.000000 , time consumption = 0.463820s

successful step! iteration = 128 , error before = 72443.159972 , error next = 71892.992416 , error change = 550.167556 , lambda = 0.200000 , time consumption = 0.461897s

unsuccessful step! iteration = 129 , error before = 71892.992416 , error next = 72587.281121 , error change = -694.288705 , lambda = 2.000000 , time consumption = 0.465796s

successful step! iteration = 130 , error before = 71892.992416 , error next = 71349.521567 , error change = 543.470849 , lambda = 0.200000 , time consumption = 0.464455s

unsuccessful step! iteration = 131 , error before = 71349.521567 , error next = 72035.237535 , error change = -685.715967 , lambda = 2.000000 , time consumption = 0.463973s

successful step! iteration = 132 , error before = 71349.521567 , error next = 70812.544787 , error change = 536.976780 , lambda = 0.200000 , time consumption = 0.461635s

unsuccessful step! iteration = 133 , error before = 70812.544787 , error next = 71489.955868 , error change = -677.411081 , lambda = 2.000000 , time consumption = 0.460972s

successful step! iteration = 134 , error before = 70812.544787 , error next = 70281.873982 , error change = 530.670805 , lambda = 0.200000 , time consumption = 0.470129s

unsuccessful step! iteration = 135 , error before = 70281.873982 , error next = 70951.228591 , error change = -669.354609 , lambda = 2.000000 , time consumption = 0.457374s

successful step! iteration = 136 , error before = 70281.873982 , error next = 69757.334359 , error change = 524.539624 , lambda = 0.200000 , time consumption = 0.468724s

unsuccessful step! iteration = 137 , error before = 69757.334359 , error next = 70418.863137 , error change = -661.528778 , lambda = 2.000000 , time consumption = 0.462164s

successful step! iteration = 138 , error before = 69757.334359 , error next = 69238.763290 , error change = 518.571069 , lambda = 0.200000 , time consumption = 0.463979s

unsuccessful step! iteration = 139 , error before = 69238.763290 , error next = 69892.680627 , error change = -653.917337 , lambda = 2.000000 , time consumption = 0.462598s

successful step! iteration = 140 , error before = 69238.763290 , error next = 68726.009279 , error change = 512.754011 , lambda = 0.200000 , time consumption = 0.465795s

unsuccessful step! iteration = 141 , error before = 68726.009279 , error next = 69372.514697 , error change = -646.505418 , lambda = 2.000000 , time consumption = 0.465040s

successful step! iteration = 142 , error before = 68726.009279 , error next = 68218.931015 , error change = 507.078264 , lambda = 0.200000 , time consumption = 0.466396s

unsuccessful step! iteration = 143 , error before = 68218.931015 , error next = 68858.210437 , error change = -639.279422 , lambda = 2.000000 , time consumption = 0.464370s

successful step! iteration = 144 , error before = 68218.931015 , error next = 67717.396507 , error change = 501.534508 , lambda = 0.200000 , time consumption = 0.466823s

unsuccessful step! iteration = 145 , error before = 67717.396507 , error next = 68349.623412 , error change = -632.226905 , lambda = 2.000000 , time consumption = 0.465503s

successful step! iteration = 146 , error before = 67717.396507 , error next = 67221.282296 , error change = 496.114211 , lambda = 0.200000 , time consumption = 0.462872s

unsuccessful step! iteration = 147 , error before = 67221.282296 , error next = 67846.618774 , error change = -625.336478 , lambda = 2.000000 , time consumption = 0.466041s

successful step! iteration = 148 , error before = 67221.282296 , error next = 66730.472734 , error change = 490.809562 , lambda = 0.200000 , time consumption = 0.466582s

unsuccessful step! iteration = 149 , error before = 66730.472734 , error next = 67349.070452 , error change = -618.597718 , lambda = 2.000000 , time consumption = 0.465029s

successful step! iteration = 150 , error before = 66730.472734 , error next = 66244.859326 , error change = 485.613408 , lambda = 0.200000 , time consumption = 0.472416s

unsuccessful step! iteration = 151 , error before = 66244.859326 , error next = 66856.860407 , error change = -612.001081 , lambda = 2.000000 , time consumption = 0.467576s

successful step! iteration = 152 , error before = 66244.859326 , error next = 65764.340129 , error change = 480.519196 , lambda = 0.200000 , time consumption = 0.467976s

unsuccessful step! iteration = 153 , error before = 65764.340129 , error next = 66369.877957 , error change = -605.537828 , lambda = 2.000000 , time consumption = 0.465677s

successful step! iteration = 154 , error before = 65764.340129 , error next = 65288.819204 , error change = 475.520926 , lambda = 0.200000 , time consumption = 0.467560s

unsuccessful step! iteration = 155 , error before = 65288.819204 , error next = 65888.019157 , error change = -599.199953 , lambda = 2.000000 , time consumption = 0.468921s

successful step! iteration = 156 , error before = 65288.819204 , error next = 64818.206110 , error change = 470.613094 , lambda = 0.200000 , time consumption = 0.487795s

unsuccessful step! iteration = 157 , error before = 64818.206110 , error next = 65411.186234 , error change = -592.980125 , lambda = 2.000000 , time consumption = 0.468777s

successful step! iteration = 158 , error before = 64818.206110 , error next = 64352.415449 , error change = 465.790661 , lambda = 0.200000 , time consumption = 0.478487s

unsuccessful step! iteration = 159 , error before = 64352.415449 , error next = 64939.287069 , error change = -586.871621 , lambda = 2.000000 , time consumption = 0.468961s

successful step! iteration = 160 , error before = 64352.415449 , error next = 63891.366447 , error change = 461.049002 , lambda = 0.200000 , time consumption = 0.469152s

unsuccessful step! iteration = 161 , error before = 63891.366447 , error next = 64472.234728 , error change = -580.868281 , lambda = 2.000000 , time consumption = 0.476567s

successful step! iteration = 162 , error before = 63891.366447 , error next = 63434.982571 , error change = 456.383876 , lambda = 0.200000 , time consumption = 0.473165s

unsuccessful step! iteration = 163 , error before = 63434.982571 , error next = 64009.947028 , error change = -574.964457 , lambda = 2.000000 , time consumption = 0.466831s

successful step! iteration = 164 , error before = 63434.982571 , error next = 62983.191179 , error change = 451.791392 , lambda = 0.200000 , time consumption = 0.467201s

unsuccessful step! iteration = 165 , error before = 62983.191179 , error next = 63552.346146 , error change = -569.154966 , lambda = 2.000000 , time consumption = 0.472222s

successful step! iteration = 166 , error before = 62983.191179 , error next = 62535.923200 , error change = 447.267979 , lambda = 0.200000 , time consumption = 0.471485s

unsuccessful step! iteration = 167 , error before = 62535.923200 , error next = 63099.358255 , error change = -563.435055 , lambda = 2.000000 , time consumption = 0.475467s

successful step! iteration = 168 , error before = 62535.923200 , error next = 62093.112844 , error change = 442.810357 , lambda = 0.200000 , time consumption = 0.468559s

unsuccessful step! iteration = 169 , error before = 62093.112844 , error next = 62650.913202 , error change = -557.800358 , lambda = 2.000000 , time consumption = 0.472044s

successful step! iteration = 170 , error before = 62093.112844 , error next = 61654.697332 , error change = 438.415512 , lambda = 0.200000 , time consumption = 0.465419s

unsuccessful step! iteration = 171 , error before = 61654.697332 , error next = 62206.944199 , error change = -552.246868 , lambda = 2.000000 , time consumption = 0.466455s

successful step! iteration = 172 , error before = 61654.697332 , error next = 61220.616656 , error change = 434.080676 , lambda = 0.200000 , time consumption = 0.477750s

unsuccessful step! iteration = 173 , error before = 61220.616656 , error next = 61767.387558 , error change = -546.770902 , lambda = 2.000000 , time consumption = 0.473551s

successful step! iteration = 174 , error before = 61220.616656 , error next = 60790.813354 , error change = 429.803301 , lambda = 0.200000 , time consumption = 0.470209s

unsuccessful step! iteration = 175 , error before = 60790.813354 , error next = 61332.182430 , error change = -541.369075 , lambda = 2.000000 , time consumption = 0.470007s

successful step! iteration = 176 , error before = 60790.813354 , error next = 60365.232310 , error change = 425.581045 , lambda = 0.200000 , time consumption = 0.466451s

unsuccessful step! iteration = 177 , error before = 60365.232310 , error next = 60901.270585 , error change = -536.038275 , lambda = 2.000000 , time consumption = 0.474282s

successful step! iteration = 178 , error before = 60365.232310 , error next = 59943.820561 , error change = 421.411749 , lambda = 0.200000 , time consumption = 0.471656s

unsuccessful step! iteration = 179 , error before = 59943.820561 , error next = 60474.596197 , error change = -530.775637 , lambda = 2.000000 , time consumption = 0.475495s

successful step! iteration = 180 , error before = 59943.820561 , error next = 59526.527133 , error change = 417.293427 , lambda = 0.200000 , time consumption = 0.473766s

unsuccessful step! iteration = 181 , error before = 59526.527133 , error next = 60052.105656 , error change = -525.578523 , lambda = 2.000000 , time consumption = 0.474103s

successful step! iteration = 182 , error before = 59526.527133 , error next = 59113.302887 , error change = 413.224246 , lambda = 0.200000 , time consumption = 0.471304s

unsuccessful step! iteration = 183 , error before = 59113.302887 , error next = 59633.747390 , error change = -520.444503 , lambda = 2.000000 , time consumption = 0.480682s

successful step! iteration = 184 , error before = 59113.302887 , error next = 58704.100370 , error change = 409.202517 , lambda = 0.200000 , time consumption = 0.463442s

unsuccessful step! iteration = 185 , error before = 58704.100370 , error next = 59219.471708 , error change = -515.371337 , lambda = 2.000000 , time consumption = 0.464963s

successful step! iteration = 186 , error before = 58704.100370 , error next = 58298.873693 , error change = 405.226677 , lambda = 0.200000 , time consumption = 0.464616s

unsuccessful step! iteration = 187 , error before = 58298.873693 , error next = 58809.230650 , error change = -510.356958 , lambda = 2.000000 , time consumption = 0.472341s

successful step! iteration = 188 , error before = 58298.873693 , error next = 57897.578406 , error change = 401.295286 , lambda = 0.200000 , time consumption = 0.465182s

unsuccessful step! iteration = 189 , error before = 57897.578406 , error next = 58402.977861 , error change = -505.399455 , lambda = 2.000000 , time consumption = 0.464353s

successful step! iteration = 190 , error before = 57897.578406 , error next = 57500.171396 , error change = 397.407010 , lambda = 0.200000 , time consumption = 0.463509s

unsuccessful step! iteration = 191 , error before = 57500.171396 , error next = 58000.668461 , error change = -500.497065 , lambda = 2.000000 , time consumption = 0.473696s

successful step! iteration = 192 , error before = 57500.171396 , error next = 57106.610783 , error change = 393.560613 , lambda = 0.200000 , time consumption = 0.465505s

unsuccessful step! iteration = 193 , error before = 57106.610783 , error next = 57602.258939 , error change = -495.648155 , lambda = 2.000000 , time consumption = 0.468000s

successful step! iteration = 194 , error before = 57106.610783 , error next = 56716.855831 , error change = 389.754952 , lambda = 0.200000 , time consumption = 0.469195s

unsuccessful step! iteration = 195 , error before = 56716.855831 , error next = 57207.707046 , error change = -490.851215 , lambda = 2.000000 , time consumption = 0.468646s

