number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-BW-10

successful step! iteration = 0 , error before = 45352606.330484 , error next = 8492020.119510 , error change = 36860586.210974 , lambda = 0.200000 , time consumption = 0.485221s

unsuccessful step! iteration = 1 , error before = 8492020.119510 , error next = 192686627.633908 , error change = -184194607.514398 , lambda = 2.000000 , time consumption = 0.486243s

successful step! iteration = 2 , error before = 8492020.119510 , error next = 2342974.840645 , error change = 6149045.278866 , lambda = 0.200000 , time consumption = 0.480027s

unsuccessful step! iteration = 3 , error before = 2342974.840645 , error next = 11274014.442250 , error change = -8931039.601605 , lambda = 2.000000 , time consumption = 0.481640s

successful step! iteration = 4 , error before = 2342974.840645 , error next = 1000564.656043 , error change = 1342410.184601 , lambda = 0.200000 , time consumption = 0.467862s

unsuccessful step! iteration = 5 , error before = 1000564.656043 , error next = 4351144.176748 , error change = -3350579.520705 , lambda = 2.000000 , time consumption = 0.473491s

successful step! iteration = 6 , error before = 1000564.656043 , error next = 567117.051984 , error change = 433447.604059 , lambda = 0.200000 , time consumption = 0.477456s

unsuccessful step! iteration = 7 , error before = 567117.051984 , error next = 2013615.928556 , error change = -1446498.876573 , lambda = 2.000000 , time consumption = 0.477380s

successful step! iteration = 8 , error before = 567117.051984 , error next = 377877.815377 , error change = 189239.236607 , lambda = 0.200000 , time consumption = 0.478519s

unsuccessful step! iteration = 9 , error before = 377877.815377 , error next = 1038574.948014 , error change = -660697.132636 , lambda = 2.000000 , time consumption = 0.477686s

successful step! iteration = 10 , error before = 377877.815377 , error next = 281174.141813 , error change = 96703.673564 , lambda = 0.200000 , time consumption = 0.479363s

unsuccessful step! iteration = 11 , error before = 281174.141813 , error next = 598304.892815 , error change = -317130.751002 , lambda = 2.000000 , time consumption = 0.486969s

successful step! iteration = 12 , error before = 281174.141813 , error next = 227284.635223 , error change = 53889.506590 , lambda = 0.200000 , time consumption = 0.475859s

unsuccessful step! iteration = 13 , error before = 227284.635223 , error next = 387303.329975 , error change = -160018.694752 , lambda = 2.000000 , time consumption = 0.473655s

successful step! iteration = 14 , error before = 227284.635223 , error next = 195212.626222 , error change = 32072.009001 , lambda = 0.200000 , time consumption = 0.479436s

unsuccessful step! iteration = 15 , error before = 195212.626222 , error next = 280393.566122 , error change = -85180.939899 , lambda = 2.000000 , time consumption = 0.478308s

successful step! iteration = 16 , error before = 195212.626222 , error next = 174904.405252 , error change = 20308.220970 , lambda = 0.200000 , time consumption = 0.478018s

unsuccessful step! iteration = 17 , error before = 174904.405252 , error next = 223004.524146 , error change = -48100.118894 , lambda = 2.000000 , time consumption = 0.485956s

successful step! iteration = 18 , error before = 174904.405252 , error next = 161230.931612 , error change = 13673.473640 , lambda = 0.200000 , time consumption = 0.481935s

unsuccessful step! iteration = 19 , error before = 161230.931612 , error next = 190206.520633 , error change = -28975.589020 , lambda = 2.000000 , time consumption = 0.475675s

successful step! iteration = 20 , error before = 161230.931612 , error next = 151464.069748 , error change = 9766.861865 , lambda = 0.200000 , time consumption = 0.475885s

unsuccessful step! iteration = 21 , error before = 151464.069748 , error next = 170151.200394 , error change = -18687.130647 , lambda = 2.000000 , time consumption = 0.476606s

successful step! iteration = 22 , error before = 151464.069748 , error next = 144100.419625 , error change = 7363.650122 , lambda = 0.200000 , time consumption = 0.477582s

unsuccessful step! iteration = 23 , error before = 144100.419625 , error next = 156997.934411 , error change = -12897.514785 , lambda = 2.000000 , time consumption = 0.477199s

successful step! iteration = 24 , error before = 144100.419625 , error next = 138282.693148 , error change = 5817.726477 , lambda = 0.200000 , time consumption = 0.474265s

unsuccessful step! iteration = 25 , error before = 138282.693148 , error next = 147762.664937 , error change = -9479.971788 , lambda = 2.000000 , time consumption = 0.477910s

successful step! iteration = 26 , error before = 138282.693148 , error next = 133504.875086 , error change = 4777.818062 , lambda = 0.200000 , time consumption = 0.486540s

unsuccessful step! iteration = 27 , error before = 133504.875086 , error next = 140864.306552 , error change = -7359.431465 , lambda = 2.000000 , time consumption = 0.480439s

successful step! iteration = 28 , error before = 133504.875086 , error next = 129457.606364 , error change = 4047.268722 , lambda = 0.200000 , time consumption = 0.475731s

unsuccessful step! iteration = 29 , error before = 129457.606364 , error next = 135433.025326 , error change = -5975.418962 , lambda = 2.000000 , time consumption = 0.480088s

successful step! iteration = 30 , error before = 129457.606364 , error next = 125944.902286 , error change = 3512.704079 , lambda = 0.200000 , time consumption = 0.488138s

unsuccessful step! iteration = 31 , error before = 125944.902286 , error next = 130971.257040 , error change = -5026.354754 , lambda = 2.000000 , time consumption = 0.488010s

successful step! iteration = 32 , error before = 125944.902286 , error next = 122838.099754 , error change = 3106.802532 , lambda = 0.200000 , time consumption = 0.479771s

unsuccessful step! iteration = 33 , error before = 122838.099754 , error next = 127182.724771 , error change = -4344.625018 , lambda = 2.000000 , time consumption = 0.474233s

successful step! iteration = 34 , error before = 122838.099754 , error next = 120049.714321 , error change = 2788.385432 , lambda = 0.200000 , time consumption = 0.482289s

unsuccessful step! iteration = 35 , error before = 120049.714321 , error next = 123883.661413 , error change = -3833.947092 , lambda = 2.000000 , time consumption = 0.490364s

successful step! iteration = 36 , error before = 120049.714321 , error next = 117518.205155 , error change = 2531.509166 , lambda = 0.200000 , time consumption = 0.497451s

unsuccessful step! iteration = 37 , error before = 117518.205155 , error next = 120955.337080 , error change = -3437.131925 , lambda = 2.000000 , time consumption = 0.492098s

successful step! iteration = 38 , error before = 117518.205155 , error next = 115198.861890 , error change = 2319.343266 , lambda = 0.200000 , time consumption = 0.482850s

unsuccessful step! iteration = 39 , error before = 115198.861890 , error next = 118317.942849 , error change = -3119.080959 , lambda = 2.000000 , time consumption = 0.507416s

successful step! iteration = 40 , error before = 115198.861890 , error next = 113058.210841 , error change = 2140.651049 , lambda = 0.200000 , time consumption = 0.477765s

unsuccessful step! iteration = 41 , error before = 113058.210841 , error next = 115915.712882 , error change = -2857.502041 , lambda = 2.000000 , time consumption = 0.473675s

successful step! iteration = 42 , error before = 113058.210841 , error next = 111070.493237 , error change = 1987.717603 , lambda = 0.200000 , time consumption = 0.474621s

unsuccessful step! iteration = 43 , error before = 111070.493237 , error next = 113708.281022 , error change = -2637.787784 , lambda = 2.000000 , time consumption = 0.467753s

successful step! iteration = 44 , error before = 111070.493237 , error next = 109215.392296 , error change = 1855.100942 , lambda = 0.200000 , time consumption = 0.479212s

unsuccessful step! iteration = 45 , error before = 109215.392296 , error next = 111665.451060 , error change = -2450.058764 , lambda = 2.000000 , time consumption = 0.479928s

successful step! iteration = 46 , error before = 109215.392296 , error next = 107476.530484 , error change = 1738.861811 , lambda = 0.200000 , time consumption = 0.478246s

unsuccessful step! iteration = 47 , error before = 107476.530484 , error next = 109763.960160 , error change = -2287.429675 , lambda = 2.000000 , time consumption = 0.473226s

successful step! iteration = 48 , error before = 107476.530484 , error next = 105840.452503 , error change = 1636.077981 , lambda = 0.200000 , time consumption = 0.477622s

unsuccessful step! iteration = 49 , error before = 105840.452503 , error next = 107985.415806 , error change = -2144.963303 , lambda = 2.000000 , time consumption = 0.487611s

successful step! iteration = 50 , error before = 105840.452503 , error next = 104295.921270 , error change = 1544.531233 , lambda = 0.200000 , time consumption = 0.488172s

unsuccessful step! iteration = 51 , error before = 104295.921270 , error next = 106314.944669 , error change = -2019.023399 , lambda = 2.000000 , time consumption = 0.489152s

successful step! iteration = 52 , error before = 104295.921270 , error next = 102833.419863 , error change = 1462.501407 , lambda = 0.200000 , time consumption = 0.467511s

unsuccessful step! iteration = 53 , error before = 102833.419863 , error next = 104740.284383 , error change = -1906.864519 , lambda = 2.000000 , time consumption = 0.467283s

