number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-BW-10
successful step! iteration = 54 , error before = 102833.419863 , error next = 101444.791733 , error change = 1388.628131 , lambda = 0.200000 , time consumption = 0.472216s

unsuccessful step! iteration = 55 , error before = 101444.791733 , error next = 103251.157654 , error change = -1806.365922 , lambda = 2.000000 , time consumption = 0.464675s

successful step! iteration = 56 , error before = 101444.791733 , error next = 100122.975545 , error change = 1321.816188 , lambda = 0.200000 , time consumption = 0.467481s

unsuccessful step! iteration = 57 , error before = 100122.975545 , error next = 101838.830574 , error change = -1715.855029 , lambda = 2.000000 , time consumption = 0.465651s

successful step! iteration = 58 , error before = 100122.975545 , error next = 98861.806007 , error change = 1261.169537 , lambda = 0.200000 , time consumption = 0.466577s

unsuccessful step! iteration = 59 , error before = 98861.806007 , error next = 100495.793799 , error change = -1633.987792 , lambda = 2.000000 , time consumption = 0.469721s

successful step! iteration = 60 , error before = 98861.806007 , error next = 97655.861522 , error change = 1205.944486 , lambda = 0.200000 , time consumption = 0.467290s

unsuccessful step! iteration = 61 , error before = 97655.861522 , error next = 99215.527461 , error change = -1559.665939 , lambda = 2.000000 , time consumption = 0.468153s

successful step! iteration = 62 , error before = 97655.861522 , error next = 96500.345643 , error change = 1155.515879 , lambda = 0.200000 , time consumption = 0.469053s

unsuccessful step! iteration = 63 , error before = 96500.345643 , error next = 97992.324284 , error change = -1491.978641 , lambda = 2.000000 , time consumption = 0.468311s

successful step! iteration = 64 , error before = 96500.345643 , error next = 95390.993357 , error change = 1109.352286 , lambda = 0.200000 , time consumption = 0.465620s

unsuccessful step! iteration = 65 , error before = 95390.993357 , error next = 96821.153955 , error change = -1430.160598 , lambda = 2.000000 , time consumption = 0.465777s

successful step! iteration = 66 , error before = 95390.993357 , error next = 94323.995855 , error change = 1066.997503 , lambda = 0.200000 , time consumption = 0.466260s

unsuccessful step! iteration = 67 , error before = 94323.995855 , error next = 95697.557266 , error change = -1373.561411 , lambda = 2.000000 , time consumption = 0.465400s

successful step! iteration = 68 , error before = 94323.995855 , error next = 93295.939313 , error change = 1028.056541 , lambda = 0.200000 , time consumption = 0.471383s

unsuccessful step! iteration = 69 , error before = 93295.939313 , error next = 94617.562127 , error change = -1321.622814 , lambda = 2.000000 , time consumption = 0.470354s

successful step! iteration = 70 , error before = 93295.939313 , error next = 92303.754436 , error change = 992.184877 , lambda = 0.200000 , time consumption = 0.482631s

unsuccessful step! iteration = 71 , error before = 92303.754436 , error next = 93577.615909 , error change = -1273.861473 , lambda = 2.000000 , time consumption = 0.478193s

successful step! iteration = 72 , error before = 92303.754436 , error next = 91344.674371 , error change = 959.080065 , lambda = 0.200000 , time consumption = 0.480364s

unsuccessful step! iteration = 73 , error before = 91344.674371 , error next = 92574.530175 , error change = -1229.855803 , lambda = 2.000000 , time consumption = 0.494065s

successful step! iteration = 74 , error before = 91344.674371 , error next = 90416.199241 , error change = 928.475131 , lambda = 0.200000 , time consumption = 0.475596s

unsuccessful step! iteration = 75 , error before = 90416.199241 , error next = 91605.434948 , error change = -1189.235707 , lambda = 2.000000 , time consumption = 0.508925s

successful step! iteration = 76 , error before = 90416.199241 , error next = 89516.065961 , error change = 900.133280 , lambda = 0.200000 , time consumption = 0.561874s

unsuccessful step! iteration = 77 , error before = 89516.065961 , error next = 90667.740442 , error change = -1151.674482 , lambda = 2.000000 , time consumption = 0.488103s

successful step! iteration = 78 , error before = 89516.065961 , error next = 88642.222336 , error change = 873.843625 , lambda = 0.200000 , time consumption = 0.497180s

unsuccessful step! iteration = 79 , error before = 88642.222336 , error next = 89759.104687 , error change = -1116.882352 , lambda = 2.000000 , time consumption = 0.497734s

successful step! iteration = 80 , error before = 88642.222336 , error next = 87792.804656 , error change = 849.417680 , lambda = 0.200000 , time consumption = 0.482083s

unsuccessful step! iteration = 81 , error before = 87792.804656 , error next = 88877.405897 , error change = -1084.601241 , lambda = 2.000000 , time consumption = 0.501286s

successful step! iteration = 82 , error before = 87792.804656 , error next = 86966.118188 , error change = 826.686468 , lambda = 0.200000 , time consumption = 0.492124s

unsuccessful step! iteration = 83 , error before = 86966.118188 , error next = 88020.718676 , error change = -1054.600489 , lambda = 2.000000 , time consumption = 0.492295s

successful step! iteration = 84 , error before = 86966.118188 , error next = 86160.620080 , error change = 805.498107 , lambda = 0.200000 , time consumption = 0.475449s

unsuccessful step! iteration = 85 , error before = 86160.620080 , error next = 87187.293393 , error change = -1026.673313 , lambda = 2.000000 , time consumption = 0.502155s

successful step! iteration = 86 , error before = 86160.620080 , error next = 85374.904315 , error change = 785.715765 , lambda = 0.200000 , time consumption = 0.475492s

unsuccessful step! iteration = 87 , error before = 85374.904315 , error next = 86375.538166 , error change = -1000.633850 , lambda = 2.000000 , time consumption = 0.472540s

successful step! iteration = 88 , error before = 85374.904315 , error next = 84607.688385 , error change = 767.215930 , lambda = 0.200000 , time consumption = 0.486334s

unsuccessful step! iteration = 89 , error before = 84607.688385 , error next = 85584.003049 , error change = -976.314664 , lambda = 2.000000 , time consumption = 0.473669s

successful step! iteration = 90 , error before = 84607.688385 , error next = 83857.801458 , error change = 749.886927 , lambda = 0.200000 , time consumption = 0.475127s

unsuccessful step! iteration = 91 , error before = 83857.801458 , error next = 84811.366079 , error change = -953.564621 , lambda = 2.000000 , time consumption = 0.477651s

successful step! iteration = 92 , error before = 83857.801458 , error next = 83124.173826 , error change = 733.627632 , lambda = 0.200000 , time consumption = 0.485695s

unsuccessful step! iteration = 93 , error before = 83124.173826 , error next = 84056.420905 , error change = -932.247078 , lambda = 2.000000 , time consumption = 0.481161s

successful step! iteration = 94 , error before = 83124.173826 , error next = 82405.827465 , error change = 718.346362 , lambda = 0.200000 , time consumption = 0.483581s

unsuccessful step! iteration = 95 , error before = 82405.827465 , error next = 83318.065775 , error change = -912.238311 , lambda = 2.000000 , time consumption = 0.474884s

successful step! iteration = 96 , error before = 82405.827465 , error next = 81701.867562 , error change = 703.959902 , lambda = 0.200000 , time consumption = 0.487732s

unsuccessful step! iteration = 97 , error before = 81701.867562 , error next = 82595.293712 , error change = -893.426150 , lambda = 2.000000 , time consumption = 0.488073s

successful step! iteration = 98 , error before = 81701.867562 , error next = 81011.474910 , error change = 690.392652 , lambda = 0.200000 , time consumption = 0.480125s

unsuccessful step! iteration = 99 , error before = 81011.474910 , error next = 81887.183703 , error change = -875.708793 , lambda = 2.000000 , time consumption = 0.479422s

successful step! iteration = 100 , error before = 81011.474910 , error next = 80333.899039 , error change = 677.575871 , lambda = 0.200000 , time consumption = 0.487819s

unsuccessful step! iteration = 101 , error before = 80333.899039 , error next = 81192.892799 , error change = -858.993760 , lambda = 2.000000 , time consumption = 0.477936s

successful step! iteration = 102 , error before = 80333.899039 , error next = 79668.452028 , error change = 665.447011 , lambda = 0.200000 , time consumption = 0.477623s

unsuccessful step! iteration = 103 , error before = 79668.452028 , error next = 80511.648993 , error change = -843.196964 , lambda = 2.000000 , time consumption = 0.478687s

successful step! iteration = 104 , error before = 79668.452028 , error next = 79014.502906 , error change = 653.949122 , lambda = 0.200000 , time consumption = 0.477917s

unsuccessful step! iteration = 105 , error before = 79014.502906 , error next = 79842.744810 , error change = -828.241904 , lambda = 2.000000 , time consumption = 0.480456s

successful step! iteration = 106 , error before = 79014.502906 , error next = 78371.472579 , error change = 643.030327 , lambda = 0.200000 , time consumption = 0.481706s

unsuccessful step! iteration = 107 , error before = 78371.472579 , error next = 79185.531507 , error change = -814.058927 , lambda = 2.000000 , time consumption = 0.479611s

successful step! iteration = 108 , error before = 78371.472579 , error next = 77738.829241 , error change = 632.643339 , lambda = 0.200000 , time consumption = 0.477702s

unsuccessful step! iteration = 109 , error before = 77738.829241 , error next = 78539.413828 , error change = -800.584588 , lambda = 2.000000 , time consumption = 0.486433s

successful step! iteration = 110 , error before = 77738.829241 , error next = 77116.084196 , error change = 622.745044 , lambda = 0.200000 , time consumption = 0.478439s

unsuccessful step! iteration = 111 , error before = 77116.084196 , error next = 77903.845258 , error change = -787.761062 , lambda = 2.000000 , time consumption = 0.478947s

successful step! iteration = 112 , error before = 77116.084196 , error next = 76502.788081 , error change = 613.296115 , lambda = 0.200000 , time consumption = 0.474395s

unsuccessful step! iteration = 113 , error before = 76502.788081 , error next = 77278.323710 , error change = -775.535628 , lambda = 2.000000 , time consumption = 0.476855s

successful step! iteration = 114 , error before = 76502.788081 , error next = 75898.527414 , error change = 604.260667 , lambda = 0.200000 , time consumption = 0.478606s

unsuccessful step! iteration = 115 , error before = 75898.527414 , error next = 76662.387616 , error change = -763.860202 , lambda = 2.000000 , time consumption = 0.476225s

successful step! iteration = 116 , error before = 75898.527414 , error next = 75302.921467 , error change = 595.605947 , lambda = 0.200000 , time consumption = 0.480185s

unsuccessful step! iteration = 117 , error before = 75302.921467 , error next = 76055.612375 , error change = -752.690908 , lambda = 2.000000 , time consumption = 0.477000s

successful step! iteration = 118 , error before = 75302.921467 , error next = 74715.619416 , error change = 587.302050 , lambda = 0.200000 , time consumption = 0.476400s

unsuccessful step! iteration = 119 , error before = 74715.619416 , error next = 75457.607120 , error change = -741.987704 , lambda = 2.000000 , time consumption = 0.483954s

successful step! iteration = 120 , error before = 74715.619416 , error next = 74136.297747 , error change = 579.321670 , lambda = 0.200000 , time consumption = 0.478419s

unsuccessful step! iteration = 121 , error before = 74136.297747 , error next = 74868.011778 , error change = -731.714032 , lambda = 2.000000 , time consumption = 0.475898s

successful step! iteration = 122 , error before = 74136.297747 , error next = 73564.657885 , error change = 571.639862 , lambda = 0.200000 , time consumption = 0.479876s

unsuccessful step! iteration = 123 , error before = 73564.657885 , error next = 74286.494396 , error change = -721.836511 , lambda = 2.000000 , time consumption = 0.475667s

successful step! iteration = 124 , error before = 73564.657885 , error next = 73000.424047 , error change = 564.233838 , lambda = 0.200000 , time consumption = 0.482605s

unsuccessful step! iteration = 125 , error before = 73000.424047 , error next = 73712.748699 , error change = -712.324652 , lambda = 2.000000 , time consumption = 0.476987s

successful step! iteration = 126 , error before = 73000.424047 , error next = 72443.341271 , error change = 557.082776 , lambda = 0.200000 , time consumption = 0.474912s

unsuccessful step! iteration = 127 , error before = 72443.341271 , error next = 73146.491872 , error change = -703.150601 , lambda = 2.000000 , time consumption = 0.479127s

successful step! iteration = 128 , error before = 72443.341271 , error next = 71893.173626 , error change = 550.167644 , lambda = 0.200000 , time consumption = 0.474992s

unsuccessful step! iteration = 129 , error before = 71893.173626 , error next = 72587.462535 , error change = -694.288909 , lambda = 2.000000 , time consumption = 0.480338s

successful step! iteration = 130 , error before = 71893.173626 , error next = 71349.702580 , error change = 543.471046 , lambda = 0.200000 , time consumption = 0.473634s

unsuccessful step! iteration = 131 , error before = 71349.702580 , error next = 72035.418896 , error change = -685.716316 , lambda = 2.000000 , time consumption = 0.476835s

successful step! iteration = 132 , error before = 71349.702580 , error next = 70812.725502 , error change = 536.977078 , lambda = 0.200000 , time consumption = 0.473992s

unsuccessful step! iteration = 133 , error before = 70812.725502 , error next = 71490.137064 , error change = -677.411562 , lambda = 2.000000 , time consumption = 0.473616s

successful step! iteration = 134 , error before = 70812.725502 , error next = 70282.054306 , error change = 530.671196 , lambda = 0.200000 , time consumption = 0.472618s

unsuccessful step! iteration = 135 , error before = 70282.054306 , error next = 70951.409518 , error change = -669.355212 , lambda = 2.000000 , time consumption = 0.474845s

successful step! iteration = 136 , error before = 70282.054306 , error next = 69757.514206 , error change = 524.540100 , lambda = 0.200000 , time consumption = 0.472766s

unsuccessful step! iteration = 137 , error before = 69757.514206 , error next = 70419.043701 , error change = -661.529494 , lambda = 2.000000 , time consumption = 0.473337s

successful step! iteration = 138 , error before = 69757.514206 , error next = 69238.942583 , error change = 518.571624 , lambda = 0.200000 , time consumption = 0.492108s

unsuccessful step! iteration = 139 , error before = 69238.942583 , error next = 69892.860739 , error change = -653.918156 , lambda = 2.000000 , time consumption = 0.473557s

successful step! iteration = 140 , error before = 69238.942583 , error next = 68726.187945 , error change = 512.754638 , lambda = 0.200000 , time consumption = 0.472519s

unsuccessful step! iteration = 141 , error before = 68726.187945 , error next = 69372.694277 , error change = -646.506332 , lambda = 2.000000 , time consumption = 0.475605s

successful step! iteration = 142 , error before = 68726.187945 , error next = 68219.108988 , error change = 507.078957 , lambda = 0.200000 , time consumption = 0.471629s

unsuccessful step! iteration = 143 , error before = 68219.108988 , error next = 68858.389411 , error change = -639.280423 , lambda = 2.000000 , time consumption = 0.496839s

successful step! iteration = 144 , error before = 68219.108988 , error next = 67717.573726 , error change = 501.535262 , lambda = 0.200000 , time consumption = 0.474540s

unsuccessful step! iteration = 145 , error before = 67717.573726 , error next = 68349.801712 , error change = -632.227986 , lambda = 2.000000 , time consumption = 0.477513s

successful step! iteration = 146 , error before = 67717.573726 , error next = 67221.458705 , error change = 496.115021 , lambda = 0.200000 , time consumption = 0.481587s

unsuccessful step! iteration = 147 , error before = 67221.458705 , error next = 67846.796337 , error change = -625.337632 , lambda = 2.000000 , time consumption = 0.480534s

successful step! iteration = 148 , error before = 67221.458705 , error next = 66730.648282 , error change = 490.810423 , lambda = 0.200000 , time consumption = 0.478261s

unsuccessful step! iteration = 149 , error before = 66730.648282 , error next = 67349.247220 , error change = -618.598938 , lambda = 2.000000 , time consumption = 0.476216s

successful step! iteration = 150 , error before = 66730.648282 , error next = 66245.033967 , error change = 485.614315 , lambda = 0.200000 , time consumption = 0.475574s

unsuccessful step! iteration = 151 , error before = 66245.033967 , error next = 66857.036329 , error change = -612.002362 , lambda = 2.000000 , time consumption = 0.480161s

successful step! iteration = 152 , error before = 66245.033967 , error next = 65764.513821 , error change = 480.520146 , lambda = 0.200000 , time consumption = 0.499998s

unsuccessful step! iteration = 153 , error before = 65764.513821 , error next = 66370.052984 , error change = -605.539164 , lambda = 2.000000 , time consumption = 0.521382s

successful step! iteration = 154 , error before = 65764.513821 , error next = 65288.991906 , error change = 475.521914 , lambda = 0.200000 , time consumption = 0.487127s

unsuccessful step! iteration = 155 , error before = 65288.991906 , error next = 65888.193246 , error change = -599.201340 , lambda = 2.000000 , time consumption = 0.479185s

successful step! iteration = 156 , error before = 65288.991906 , error next = 64818.377788 , error change = 470.614118 , lambda = 0.200000 , time consumption = 0.477439s

unsuccessful step! iteration = 157 , error before = 64818.377788 , error next = 65411.359345 , error change = -592.981557 , lambda = 2.000000 , time consumption = 0.486671s

successful step! iteration = 158 , error before = 64818.377788 , error next = 64352.586072 , error change = 465.791717 , lambda = 0.200000 , time consumption = 0.484231s

unsuccessful step! iteration = 159 , error before = 64352.586072 , error next = 64939.459165 , error change = -586.873094 , lambda = 2.000000 , time consumption = 0.491783s

successful step! iteration = 160 , error before = 64352.586072 , error next = 63891.535986 , error change = 461.050086 , lambda = 0.200000 , time consumption = 0.485293s

unsuccessful step! iteration = 161 , error before = 63891.535986 , error next = 64472.405777 , error change = -580.869791 , lambda = 2.000000 , time consumption = 0.482497s

successful step! iteration = 162 , error before = 63891.535986 , error next = 63435.150999 , error change = 456.384986 , lambda = 0.200000 , time consumption = 0.475075s

unsuccessful step! iteration = 163 , error before = 63435.150999 , error next = 64010.117000 , error change = -574.966000 , lambda = 2.000000 , time consumption = 0.479916s

successful step! iteration = 164 , error before = 63435.150999 , error next = 62983.358473 , error change = 451.792526 , lambda = 0.200000 , time consumption = 0.478551s

unsuccessful step! iteration = 165 , error before = 62983.358473 , error next = 63552.515013 , error change = -569.156540 , lambda = 2.000000 , time consumption = 0.482793s

successful step! iteration = 166 , error before = 62983.358473 , error next = 62536.089339 , error change = 447.269134 , lambda = 0.200000 , time consumption = 0.475825s

unsuccessful step! iteration = 167 , error before = 62536.089339 , error next = 63099.525994 , error change = -563.436655 , lambda = 2.000000 , time consumption = 0.475336s

successful step! iteration = 168 , error before = 62536.089339 , error next = 62093.277808 , error change = 442.811531 , lambda = 0.200000 , time consumption = 0.478150s

unsuccessful step! iteration = 169 , error before = 62093.277808 , error next = 62651.079790 , error change = -557.801982 , lambda = 2.000000 , time consumption = 0.479092s

successful step! iteration = 170 , error before = 62093.277808 , error next = 61654.861105 , error change = 438.416703 , lambda = 0.200000 , time consumption = 0.510652s

unsuccessful step! iteration = 171 , error before = 61654.861105 , error next = 62207.109618 , error change = -552.248513 , lambda = 2.000000 , time consumption = 0.479476s

successful step! iteration = 172 , error before = 61654.861105 , error next = 61220.779224 , error change = 434.081881 , lambda = 0.200000 , time consumption = 0.488399s

unsuccessful step! iteration = 173 , error before = 61220.779224 , error next = 61767.551789 , error change = -546.772565 , lambda = 2.000000 , time consumption = 0.484033s

successful step! iteration = 174 , error before = 61220.779224 , error next = 60790.974704 , error change = 429.804520 , lambda = 0.200000 , time consumption = 0.486078s

unsuccessful step! iteration = 175 , error before = 60790.974704 , error next = 61332.345458 , error change = -541.370754 , lambda = 2.000000 , time consumption = 0.476639s

successful step! iteration = 176 , error before = 60790.974704 , error next = 60365.392430 , error change = 425.582274 , lambda = 0.200000 , time consumption = 0.477585s

unsuccessful step! iteration = 177 , error before = 60365.392430 , error next = 60901.432398 , error change = -536.039968 , lambda = 2.000000 , time consumption = 0.480207s

successful step! iteration = 178 , error before = 60365.392430 , error next = 59943.979441 , error change = 421.412989 , lambda = 0.200000 , time consumption = 0.473289s

unsuccessful step! iteration = 179 , error before = 59943.979441 , error next = 60474.756782 , error change = -530.777341 , lambda = 2.000000 , time consumption = 0.469906s

successful step! iteration = 180 , error before = 59943.979441 , error next = 59526.684766 , error change = 417.294675 , lambda = 0.200000 , time consumption = 0.472166s

unsuccessful step! iteration = 181 , error before = 59526.684766 , error next = 60052.265003 , error change = -525.580237 , lambda = 2.000000 , time consumption = 0.467855s

successful step! iteration = 182 , error before = 59526.684766 , error next = 59113.459265 , error change = 413.225501 , lambda = 0.200000 , time consumption = 0.468835s

unsuccessful step! iteration = 183 , error before = 59113.459265 , error next = 59633.905491 , error change = -520.446225 , lambda = 2.000000 , time consumption = 0.470207s

successful step! iteration = 184 , error before = 59113.459265 , error next = 58704.255488 , error change = 409.203777 , lambda = 0.200000 , time consumption = 0.472294s

unsuccessful step! iteration = 185 , error before = 58704.255488 , error next = 59219.628554 , error change = -515.373066 , lambda = 2.000000 , time consumption = 0.469822s

successful step! iteration = 186 , error before = 58704.255488 , error next = 58299.027546 , error change = 405.227942 , lambda = 0.200000 , time consumption = 0.467961s

unsuccessful step! iteration = 187 , error before = 58299.027546 , error next = 58809.386237 , error change = -510.358691 , lambda = 2.000000 , time consumption = 0.474742s

successful step! iteration = 188 , error before = 58299.027546 , error next = 57897.730991 , error change = 401.296555 , lambda = 0.200000 , time consumption = 0.484472s

unsuccessful step! iteration = 189 , error before = 57897.730991 , error next = 58403.132183 , error change = -505.401191 , lambda = 2.000000 , time consumption = 0.485833s

successful step! iteration = 190 , error before = 57897.730991 , error next = 57500.322711 , error change = 397.408281 , lambda = 0.200000 , time consumption = 0.475829s

unsuccessful step! iteration = 191 , error before = 57500.322711 , error next = 58000.821514 , error change = -500.498804 , lambda = 2.000000 , time consumption = 0.483574s

successful step! iteration = 192 , error before = 57500.322711 , error next = 57106.760825 , error change = 393.561886 , lambda = 0.200000 , time consumption = 0.479156s

unsuccessful step! iteration = 193 , error before = 57106.760825 , error next = 57602.410720 , error change = -495.649895 , lambda = 2.000000 , time consumption = 0.478682s

successful step! iteration = 194 , error before = 57106.760825 , error next = 56717.004600 , error change = 389.756225 , lambda = 0.200000 , time consumption = 0.483812s

unsuccessful step! iteration = 195 , error before = 56717.004600 , error next = 57207.857554 , error change = -490.852954 , lambda = 2.000000 , time consumption = 0.484682s

successful step! iteration = 196 , error before = 56717.004600 , error next = 56331.014362 , error change = 385.990237 , lambda = 0.200000 , time consumption = 0.486713s

