number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-BW-1

successful step! iteration = 0 , error before = 45352606.330484 , error next = 8492028.067020 , error change = 36860578.263464 , lambda = 0.200000 , time consumption = 0.463304s

unsuccessful step! iteration = 1 , error before = 8492028.067020 , error next = 194938682.756057 , error change = -186446654.689037 , lambda = 2.000000 , time consumption = 0.465425s

successful step! iteration = 2 , error before = 8492028.067020 , error next = 2342984.565719 , error change = 6149043.501301 , lambda = 0.200000 , time consumption = 0.462612s

unsuccessful step! iteration = 3 , error before = 2342984.565719 , error next = 11263178.709123 , error change = -8920194.143403 , lambda = 2.000000 , time consumption = 0.455077s

successful step! iteration = 4 , error before = 2342984.565719 , error next = 1000574.169149 , error change = 1342410.396570 , lambda = 0.200000 , time consumption = 0.456134s

unsuccessful step! iteration = 5 , error before = 1000574.169149 , error next = 4351206.500967 , error change = -3350632.331817 , lambda = 2.000000 , time consumption = 0.455655s

successful step! iteration = 6 , error before = 1000574.169149 , error next = 567124.385713 , error change = 433449.783437 , lambda = 0.200000 , time consumption = 0.449769s

unsuccessful step! iteration = 7 , error before = 567124.385713 , error next = 2013611.408390 , error change = -1446487.022677 , lambda = 2.000000 , time consumption = 0.450556s

successful step! iteration = 8 , error before = 567124.385713 , error next = 377882.886917 , error change = 189241.498796 , lambda = 0.200000 , time consumption = 0.454204s

unsuccessful step! iteration = 9 , error before = 377882.886917 , error next = 1038571.479419 , error change = -660688.592502 , lambda = 2.000000 , time consumption = 0.461346s

successful step! iteration = 10 , error before = 377882.886917 , error next = 281177.504292 , error change = 96705.382625 , lambda = 0.200000 , time consumption = 0.461756s

unsuccessful step! iteration = 11 , error before = 281177.504292 , error next = 598304.414126 , error change = -317126.909834 , lambda = 2.000000 , time consumption = 0.462475s

successful step! iteration = 12 , error before = 281177.504292 , error next = 227286.795191 , error change = 53890.709101 , lambda = 0.200000 , time consumption = 0.455300s

unsuccessful step! iteration = 13 , error before = 227286.795191 , error next = 387304.126123 , error change = -160017.330932 , lambda = 2.000000 , time consumption = 0.459327s

successful step! iteration = 14 , error before = 227286.795191 , error next = 195213.953239 , error change = 32072.841952 , lambda = 0.200000 , time consumption = 0.458289s

unsuccessful step! iteration = 15 , error before = 195213.953239 , error next = 280394.642736 , error change = -85180.689497 , lambda = 2.000000 , time consumption = 0.455972s

successful step! iteration = 16 , error before = 195213.953239 , error next = 174905.157685 , error change = 20308.795554 , lambda = 0.200000 , time consumption = 0.455259s

unsuccessful step! iteration = 17 , error before = 174905.157685 , error next = 223005.515166 , error change = -48100.357481 , lambda = 2.000000 , time consumption = 0.455200s

successful step! iteration = 18 , error before = 174905.157685 , error next = 161231.286978 , error change = 13673.870706 , lambda = 0.200000 , time consumption = 0.461667s

unsuccessful step! iteration = 19 , error before = 161231.286978 , error next = 190207.175094 , error change = -28975.888116 , lambda = 2.000000 , time consumption = 0.488671s

successful step! iteration = 20 , error before = 161231.286978 , error next = 151464.148913 , error change = 9767.138066 , lambda = 0.200000 , time consumption = 0.464982s

unsuccessful step! iteration = 21 , error before = 151464.148913 , error next = 170151.553933 , error change = -18687.405021 , lambda = 2.000000 , time consumption = 0.456674s

successful step! iteration = 22 , error before = 151464.148913 , error next = 144100.304605 , error change = 7363.844308 , lambda = 0.200000 , time consumption = 0.455220s

unsuccessful step! iteration = 23 , error before = 144100.304605 , error next = 156998.043382 , error change = -12897.738776 , lambda = 2.000000 , time consumption = 0.464848s

successful step! iteration = 24 , error before = 144100.304605 , error next = 138282.439655 , error change = 5817.864950 , lambda = 0.200000 , time consumption = 0.461412s

unsuccessful step! iteration = 25 , error before = 138282.439655 , error next = 147762.584253 , error change = -9480.144597 , lambda = 2.000000 , time consumption = 0.464258s

