number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-BW-1
successful step! iteration = 26 , error before = 138282.439655 , error next = 133504.521150 , error change = 4777.918505 , lambda = 0.200000 , time consumption = 0.459161s

unsuccessful step! iteration = 27 , error before = 133504.521150 , error next = 140864.081762 , error change = -7359.560611 , lambda = 2.000000 , time consumption = 0.459550s

successful step! iteration = 28 , error before = 133504.521150 , error next = 129457.178163 , error change = 4047.342987 , lambda = 0.200000 , time consumption = 0.462628s

unsuccessful step! iteration = 29 , error before = 129457.178163 , error next = 135432.691447 , error change = -5975.513285 , lambda = 2.000000 , time consumption = 0.464294s

successful step! iteration = 30 , error before = 129457.178163 , error next = 125944.418039 , error change = 3512.760124 , lambda = 0.200000 , time consumption = 0.465835s

unsuccessful step! iteration = 31 , error before = 125944.418039 , error next = 130970.840443 , error change = -5026.422404 , lambda = 2.000000 , time consumption = 0.465550s

successful step! iteration = 32 , error before = 125944.418039 , error next = 122837.572313 , error change = 3106.845725 , lambda = 0.200000 , time consumption = 0.465232s

unsuccessful step! iteration = 33 , error before = 122837.572313 , error next = 127182.245180 , error change = -4344.672867 , lambda = 2.000000 , time consumption = 0.502047s

successful step! iteration = 34 , error before = 122837.572313 , error next = 120049.152889 , error change = 2788.419425 , lambda = 0.200000 , time consumption = 0.460650s

unsuccessful step! iteration = 35 , error before = 120049.152889 , error next = 123883.070806 , error change = -3833.917917 , lambda = 2.000000 , time consumption = 0.467483s

successful step! iteration = 36 , error before = 120049.152889 , error next = 117517.616426 , error change = 2531.536463 , lambda = 0.200000 , time consumption = 0.480147s

unsuccessful step! iteration = 37 , error before = 117517.616426 , error next = 120954.742630 , error change = -3437.126204 , lambda = 2.000000 , time consumption = 0.457209s

successful step! iteration = 38 , error before = 117517.616426 , error next = 115198.250822 , error change = 2319.365604 , lambda = 0.200000 , time consumption = 0.456664s

unsuccessful step! iteration = 39 , error before = 115198.250822 , error next = 118317.340581 , error change = -3119.089759 , lambda = 2.000000 , time consumption = 0.457062s

successful step! iteration = 40 , error before = 115198.250822 , error next = 113057.581177 , error change = 2140.669645 , lambda = 0.200000 , time consumption = 0.458791s

unsuccessful step! iteration = 41 , error before = 113057.581177 , error next = 115915.104538 , error change = -2857.523361 , lambda = 2.000000 , time consumption = 0.458004s

successful step! iteration = 42 , error before = 113057.581177 , error next = 111069.847859 , error change = 1987.733318 , lambda = 0.200000 , time consumption = 0.460902s

unsuccessful step! iteration = 43 , error before = 111069.847859 , error next = 113707.666469 , error change = -2637.818610 , lambda = 2.000000 , time consumption = 0.460779s

successful step! iteration = 44 , error before = 111069.847859 , error next = 109214.733468 , error change = 1855.114391 , lambda = 0.200000 , time consumption = 0.459764s

unsuccessful step! iteration = 45 , error before = 109214.733468 , error next = 111664.828907 , error change = -2450.095439 , lambda = 2.000000 , time consumption = 0.459192s

successful step! iteration = 46 , error before = 109214.733468 , error next = 107475.860028 , error change = 1738.873441 , lambda = 0.200000 , time consumption = 0.458226s

unsuccessful step! iteration = 47 , error before = 107475.860028 , error next = 109763.322174 , error change = -2287.462146 , lambda = 2.000000 , time consumption = 0.459063s

successful step! iteration = 48 , error before = 107475.860028 , error next = 105839.771910 , error change = 1636.088117 , lambda = 0.200000 , time consumption = 0.459944s

unsuccessful step! iteration = 49 , error before = 105839.771910 , error next = 107984.755868 , error change = -2144.983958 , lambda = 2.000000 , time consumption = 0.457889s

successful step! iteration = 50 , error before = 105839.771910 , error next = 104295.231791 , error change = 1544.540120 , lambda = 0.200000 , time consumption = 0.463924s

unsuccessful step! iteration = 51 , error before = 104295.231791 , error next = 106314.272925 , error change = -2019.041134 , lambda = 2.000000 , time consumption = 0.460126s

successful step! iteration = 52 , error before = 104295.231791 , error next = 102832.722563 , error change = 1462.509228 , lambda = 0.200000 , time consumption = 0.457795s

unsuccessful step! iteration = 53 , error before = 102832.722563 , error next = 104739.602371 , error change = -1906.879808 , lambda = 2.000000 , time consumption = 0.457846s

successful step! iteration = 54 , error before = 102832.722563 , error next = 101444.087535 , error change = 1388.635027 , lambda = 0.200000 , time consumption = 0.458122s

unsuccessful step! iteration = 55 , error before = 101444.087535 , error next = 103250.466718 , error change = -1806.379183 , lambda = 2.000000 , time consumption = 0.457853s

successful step! iteration = 56 , error before = 101444.087535 , error next = 100122.265265 , error change = 1321.822270 , lambda = 0.200000 , time consumption = 0.455750s

unsuccessful step! iteration = 57 , error before = 100122.265265 , error next = 101838.131861 , error change = -1715.866596 , lambda = 2.000000 , time consumption = 0.460617s

successful step! iteration = 58 , error before = 100122.265265 , error next = 98861.090372 , error change = 1261.174893 , lambda = 0.200000 , time consumption = 0.456938s

unsuccessful step! iteration = 59 , error before = 98861.090372 , error next = 100495.088291 , error change = -1633.997919 , lambda = 2.000000 , time consumption = 0.481505s

successful step! iteration = 60 , error before = 98861.090372 , error next = 97655.141187 , error change = 1205.949185 , lambda = 0.200000 , time consumption = 0.457252s

unsuccessful step! iteration = 61 , error before = 97655.141187 , error next = 99214.816008 , error change = -1559.674822 , lambda = 2.000000 , time consumption = 0.456931s

successful step! iteration = 62 , error before = 97655.141187 , error next = 96499.621207 , error change = 1155.519980 , lambda = 0.200000 , time consumption = 0.456786s

unsuccessful step! iteration = 63 , error before = 96499.621207 , error next = 97991.607633 , error change = -1491.986426 , lambda = 2.000000 , time consumption = 0.453649s

successful step! iteration = 64 , error before = 96499.621207 , error next = 95390.265369 , error change = 1109.355837 , lambda = 0.200000 , time consumption = 0.453906s

unsuccessful step! iteration = 65 , error before = 95390.265369 , error next = 96820.432765 , error change = -1430.167396 , lambda = 2.000000 , time consumption = 0.456272s

successful step! iteration = 66 , error before = 95390.265369 , error next = 94323.264825 , error change = 1067.000544 , lambda = 0.200000 , time consumption = 0.457422s

unsuccessful step! iteration = 67 , error before = 94323.264825 , error next = 95696.832116 , error change = -1373.567291 , lambda = 2.000000 , time consumption = 0.454128s

successful step! iteration = 68 , error before = 94323.264825 , error next = 93295.205717 , error change = 1028.059108 , lambda = 0.200000 , time consumption = 0.454132s

unsuccessful step! iteration = 69 , error before = 93295.205717 , error next = 94616.833537 , error change = -1321.627820 , lambda = 2.000000 , time consumption = 0.454963s

successful step! iteration = 70 , error before = 93295.205717 , error next = 92303.018718 , error change = 992.186999 , lambda = 0.200000 , time consumption = 0.454382s

unsuccessful step! iteration = 71 , error before = 92303.018718 , error next = 93576.884207 , error change = -1273.865489 , lambda = 2.000000 , time consumption = 0.457499s

successful step! iteration = 72 , error before = 92303.018718 , error next = 91343.936949 , error change = 959.081769 , lambda = 0.200000 , time consumption = 0.458739s

unsuccessful step! iteration = 73 , error before = 91343.936949 , error next = 92573.795759 , error change = -1229.858811 , lambda = 2.000000 , time consumption = 0.457518s

successful step! iteration = 74 , error before = 91343.936949 , error next = 90415.460509 , error change = 928.476440 , lambda = 0.200000 , time consumption = 0.456594s

unsuccessful step! iteration = 75 , error before = 90415.460509 , error next = 91604.697847 , error change = -1189.237337 , lambda = 2.000000 , time consumption = 0.457542s

successful step! iteration = 76 , error before = 90415.460509 , error next = 89515.326294 , error change = 900.134215 , lambda = 0.200000 , time consumption = 0.460580s

unsuccessful step! iteration = 77 , error before = 89515.326294 , error next = 90667.001931 , error change = -1151.675637 , lambda = 2.000000 , time consumption = 0.463929s

successful step! iteration = 78 , error before = 89515.326294 , error next = 88641.482089 , error change = 873.844205 , lambda = 0.200000 , time consumption = 0.467482s

unsuccessful step! iteration = 79 , error before = 88641.482089 , error next = 89758.365363 , error change = -1116.883274 , lambda = 2.000000 , time consumption = 0.459617s

successful step! iteration = 80 , error before = 88641.482089 , error next = 87792.064167 , error change = 849.417922 , lambda = 0.200000 , time consumption = 0.458160s

unsuccessful step! iteration = 81 , error before = 87792.064167 , error next = 88876.666037 , error change = -1084.601871 , lambda = 2.000000 , time consumption = 0.457066s

successful step! iteration = 82 , error before = 87792.064167 , error next = 86965.377777 , error change = 826.686389 , lambda = 0.200000 , time consumption = 0.461919s

unsuccessful step! iteration = 83 , error before = 86965.377777 , error next = 88019.978546 , error change = -1054.600769 , lambda = 2.000000 , time consumption = 0.472788s

successful step! iteration = 84 , error before = 86965.377777 , error next = 86159.880056 , error change = 805.497722 , lambda = 0.200000 , time consumption = 0.462132s

unsuccessful step! iteration = 85 , error before = 86159.880056 , error next = 87186.553273 , error change = -1026.673217 , lambda = 2.000000 , time consumption = 0.460854s

successful step! iteration = 86 , error before = 86159.880056 , error next = 85374.164968 , error change = 785.715087 , lambda = 0.200000 , time consumption = 0.467137s

unsuccessful step! iteration = 87 , error before = 85374.164968 , error next = 86374.798341 , error change = -1000.633372 , lambda = 2.000000 , time consumption = 0.464092s

successful step! iteration = 88 , error before = 85374.164968 , error next = 84606.949994 , error change = 767.214974 , lambda = 0.200000 , time consumption = 0.462750s

unsuccessful step! iteration = 89 , error before = 84606.949994 , error next = 85583.263802 , error change = -976.313808 , lambda = 2.000000 , time consumption = 0.468711s

successful step! iteration = 90 , error before = 84606.949994 , error next = 83857.064290 , error change = 749.885704 , lambda = 0.200000 , time consumption = 0.462788s

unsuccessful step! iteration = 91 , error before = 83857.064290 , error next = 84810.627687 , error change = -953.563397 , lambda = 2.000000 , time consumption = 0.461429s

successful step! iteration = 92 , error before = 83857.064290 , error next = 83123.438135 , error change = 733.626155 , lambda = 0.200000 , time consumption = 0.465611s

unsuccessful step! iteration = 93 , error before = 83123.438135 , error next = 84055.683633 , error change = -932.245498 , lambda = 2.000000 , time consumption = 0.469219s

successful step! iteration = 94 , error before = 83123.438135 , error next = 82405.093492 , error change = 718.344643 , lambda = 0.200000 , time consumption = 0.463246s

unsuccessful step! iteration = 95 , error before = 82405.093492 , error next = 83317.329881 , error change = -912.236388 , lambda = 2.000000 , time consumption = 0.461262s

successful step! iteration = 96 , error before = 82405.093492 , error next = 81701.135540 , error change = 703.957953 , lambda = 0.200000 , time consumption = 0.462056s

unsuccessful step! iteration = 97 , error before = 81701.135540 , error next = 82594.559440 , error change = -893.423900 , lambda = 2.000000 , time consumption = 0.463353s

successful step! iteration = 98 , error before = 81701.135540 , error next = 81010.745057 , error change = 690.390483 , lambda = 0.200000 , time consumption = 0.462831s

unsuccessful step! iteration = 99 , error before = 81010.745057 , error next = 81886.451288 , error change = -875.706231 , lambda = 2.000000 , time consumption = 0.475525s

successful step! iteration = 100 , error before = 81010.745057 , error next = 80333.171564 , error change = 677.573493 , lambda = 0.200000 , time consumption = 0.487922s

unsuccessful step! iteration = 101 , error before = 80333.171564 , error next = 81192.162464 , error change = -858.990901 , lambda = 2.000000 , time consumption = 0.459959s

successful step! iteration = 102 , error before = 80333.171564 , error next = 79667.727129 , error change = 665.444434 , lambda = 0.200000 , time consumption = 0.462026s

unsuccessful step! iteration = 103 , error before = 79667.727129 , error next = 80510.920953 , error change = -843.193824 , lambda = 2.000000 , time consumption = 0.461211s

successful step! iteration = 104 , error before = 79667.727129 , error next = 79013.780771 , error change = 653.946358 , lambda = 0.200000 , time consumption = 0.463340s

unsuccessful step! iteration = 105 , error before = 79013.780771 , error next = 79842.019267 , error change = -828.238496 , lambda = 2.000000 , time consumption = 0.459691s

successful step! iteration = 106 , error before = 79013.780771 , error next = 78370.753388 , error change = 643.027384 , lambda = 0.200000 , time consumption = 0.460566s

unsuccessful step! iteration = 107 , error before = 78370.753388 , error next = 79184.808654 , error change = -814.055266 , lambda = 2.000000 , time consumption = 0.459056s

successful step! iteration = 108 , error before = 78370.753388 , error next = 77738.113160 , error change = 632.640227 , lambda = 0.200000 , time consumption = 0.458719s

unsuccessful step! iteration = 109 , error before = 77738.113160 , error next = 78538.693848 , error change = -800.580688 , lambda = 2.000000 , time consumption = 0.459095s

successful step! iteration = 110 , error before = 77738.113160 , error next = 77115.371387 , error change = 622.741774 , lambda = 0.200000 , time consumption = 0.459753s

unsuccessful step! iteration = 111 , error before = 77115.371387 , error next = 77903.128323 , error change = -787.756937 , lambda = 2.000000 , time consumption = 0.457660s

successful step! iteration = 112 , error before = 77115.371387 , error next = 76502.078692 , error change = 613.292695 , lambda = 0.200000 , time consumption = 0.458720s

unsuccessful step! iteration = 113 , error before = 76502.078692 , error next = 77277.609984 , error change = -775.531292 , lambda = 2.000000 , time consumption = 0.474679s

successful step! iteration = 114 , error before = 76502.078692 , error next = 75897.821585 , error change = 604.257106 , lambda = 0.200000 , time consumption = 0.466581s

unsuccessful step! iteration = 115 , error before = 75897.821585 , error next = 76661.677253 , error change = -763.855667 , lambda = 2.000000 , time consumption = 0.461455s

successful step! iteration = 116 , error before = 75897.821585 , error next = 75302.219332 , error change = 595.602253 , lambda = 0.200000 , time consumption = 0.460854s

unsuccessful step! iteration = 117 , error before = 75302.219332 , error next = 76054.905519 , error change = -752.686187 , lambda = 2.000000 , time consumption = 0.469303s

successful step! iteration = 118 , error before = 75302.219332 , error next = 74714.921099 , error change = 587.298233 , lambda = 0.200000 , time consumption = 0.458075s

unsuccessful step! iteration = 119 , error before = 74714.921099 , error next = 75456.903908 , error change = -741.982808 , lambda = 2.000000 , time consumption = 0.459770s

successful step! iteration = 120 , error before = 74714.921099 , error next = 74135.603363 , error change = 579.317736 , lambda = 0.200000 , time consumption = 0.464414s

unsuccessful step! iteration = 121 , error before = 74135.603363 , error next = 74867.312337 , error change = -731.708974 , lambda = 2.000000 , time consumption = 0.464935s

successful step! iteration = 122 , error before = 74135.603363 , error next = 73563.967542 , error change = 571.635821 , lambda = 0.200000 , time consumption = 0.457039s

unsuccessful step! iteration = 123 , error before = 73563.967542 , error next = 74285.798844 , error change = -721.831302 , lambda = 2.000000 , time consumption = 0.456131s

successful step! iteration = 124 , error before = 73563.967542 , error next = 72999.737845 , error change = 564.229697 , lambda = 0.200000 , time consumption = 0.456397s

unsuccessful step! iteration = 125 , error before = 72999.737845 , error next = 73712.057147 , error change = -712.319302 , lambda = 2.000000 , time consumption = 0.462685s

successful step! iteration = 126 , error before = 72999.737845 , error next = 72442.659303 , error change = 557.078542 , lambda = 0.200000 , time consumption = 0.458544s

unsuccessful step! iteration = 127 , error before = 72442.659303 , error next = 73145.804425 , error change = -703.145121 , lambda = 2.000000 , time consumption = 0.464110s

successful step! iteration = 128 , error before = 72442.659303 , error next = 71892.495979 , error change = 550.163324 , lambda = 0.200000 , time consumption = 0.466839s

unsuccessful step! iteration = 129 , error before = 71892.495979 , error next = 72586.779288 , error change = -694.283308 , lambda = 2.000000 , time consumption = 0.461660s

successful step! iteration = 130 , error before = 71892.495979 , error next = 71349.029332 , error change = 543.466647 , lambda = 0.200000 , time consumption = 0.531214s

unsuccessful step! iteration = 131 , error before = 71349.029332 , error next = 72034.739936 , error change = -685.710604 , lambda = 2.000000 , time consumption = 0.476146s

successful step! iteration = 132 , error before = 71349.029332 , error next = 70812.056725 , error change = 536.972606 , lambda = 0.200000 , time consumption = 0.461806s

unsuccessful step! iteration = 133 , error before = 70812.056725 , error next = 71489.462474 , error change = -677.405749 , lambda = 2.000000 , time consumption = 0.461262s

successful step! iteration = 134 , error before = 70812.056725 , error next = 70281.390068 , error change = 530.666658 , lambda = 0.200000 , time consumption = 0.460987s

unsuccessful step! iteration = 135 , error before = 70281.390068 , error next = 70950.739373 , error change = -669.349306 , lambda = 2.000000 , time consumption = 0.464860s

successful step! iteration = 136 , error before = 70281.390068 , error next = 69756.854566 , error change = 524.535502 , lambda = 0.200000 , time consumption = 0.462275s

unsuccessful step! iteration = 137 , error before = 69756.854566 , error next = 70418.378069 , error change = -661.523503 , lambda = 2.000000 , time consumption = 0.463790s

successful step! iteration = 138 , error before = 69756.854566 , error next = 69238.287595 , error change = 518.566971 , lambda = 0.200000 , time consumption = 0.468481s

unsuccessful step! iteration = 139 , error before = 69238.287595 , error next = 69892.199683 , error change = -653.912088 , lambda = 2.000000 , time consumption = 0.464492s

successful step! iteration = 140 , error before = 69238.287595 , error next = 68725.537660 , error change = 512.749936 , lambda = 0.200000 , time consumption = 0.461153s

unsuccessful step! iteration = 141 , error before = 68725.537660 , error next = 69372.037854 , error change = -646.500194 , lambda = 2.000000 , time consumption = 0.462326s

successful step! iteration = 142 , error before = 68725.537660 , error next = 68218.463448 , error change = 507.074211 , lambda = 0.200000 , time consumption = 0.464234s

unsuccessful step! iteration = 143 , error before = 68218.463448 , error next = 68857.737671 , error change = -639.274223 , lambda = 2.000000 , time consumption = 0.458485s

successful step! iteration = 144 , error before = 68218.463448 , error next = 67716.932971 , error change = 501.530477 , lambda = 0.200000 , time consumption = 0.460288s

unsuccessful step! iteration = 145 , error before = 67716.932971 , error next = 68349.154700 , error change = -632.221729 , lambda = 2.000000 , time consumption = 0.457574s

successful step! iteration = 146 , error before = 67716.932971 , error next = 67220.822770 , error change = 496.110202 , lambda = 0.200000 , time consumption = 0.466569s

unsuccessful step! iteration = 147 , error before = 67220.822770 , error next = 67846.154096 , error change = -625.331326 , lambda = 2.000000 , time consumption = 0.465280s

successful step! iteration = 148 , error before = 67220.822770 , error next = 66730.017196 , error change = 490.805574 , lambda = 0.200000 , time consumption = 0.465468s

unsuccessful step! iteration = 149 , error before = 66730.017196 , error next = 67348.609785 , error change = -618.592589 , lambda = 2.000000 , time consumption = 0.463737s

successful step! iteration = 150 , error before = 66730.017196 , error next = 66244.407756 , error change = 485.609440 , lambda = 0.200000 , time consumption = 0.464175s

unsuccessful step! iteration = 151 , error before = 66244.407756 , error next = 66856.403731 , error change = -611.995975 , lambda = 2.000000 , time consumption = 0.463916s

successful step! iteration = 152 , error before = 66244.407756 , error next = 65763.892506 , error change = 480.515250 , lambda = 0.200000 , time consumption = 0.464528s

unsuccessful step! iteration = 153 , error before = 65763.892506 , error next = 66369.425251 , error change = -605.532745 , lambda = 2.000000 , time consumption = 0.457833s

successful step! iteration = 154 , error before = 65763.892506 , error next = 65288.375507 , error change = 475.516999 , lambda = 0.200000 , time consumption = 0.482270s

unsuccessful step! iteration = 155 , error before = 65288.375507 , error next = 65887.570401 , error change = -599.194894 , lambda = 2.000000 , time consumption = 0.456199s

successful step! iteration = 156 , error before = 65288.375507 , error next = 64817.766318 , error change = 470.609189 , lambda = 0.200000 , time consumption = 0.457525s

unsuccessful step! iteration = 157 , error before = 64817.766318 , error next = 65410.741406 , error change = -592.975089 , lambda = 2.000000 , time consumption = 0.484073s

successful step! iteration = 158 , error before = 64817.766318 , error next = 64351.979541 , error change = 465.786777 , lambda = 0.200000 , time consumption = 0.455576s

unsuccessful step! iteration = 159 , error before = 64351.979541 , error next = 64938.846150 , error change = -586.866608 , lambda = 2.000000 , time consumption = 0.452559s

successful step! iteration = 160 , error before = 64351.979541 , error next = 63890.934403 , error change = 461.045138 , lambda = 0.200000 , time consumption = 0.450796s

unsuccessful step! iteration = 161 , error before = 63890.934403 , error next = 64471.797696 , error change = -580.863293 , lambda = 2.000000 , time consumption = 0.450303s

successful step! iteration = 162 , error before = 63890.934403 , error next = 63434.554369 , error change = 456.380034 , lambda = 0.200000 , time consumption = 0.451070s

unsuccessful step! iteration = 163 , error before = 63434.554369 , error next = 64009.513862 , error change = -574.959493 , lambda = 2.000000 , time consumption = 0.452036s

successful step! iteration = 164 , error before = 63434.554369 , error next = 62982.766798 , error change = 451.787571 , lambda = 0.200000 , time consumption = 0.450746s

unsuccessful step! iteration = 165 , error before = 62982.766798 , error next = 63551.916825 , error change = -569.150027 , lambda = 2.000000 , time consumption = 0.450226s

successful step! iteration = 166 , error before = 62982.766798 , error next = 62535.502618 , error change = 447.264180 , lambda = 0.200000 , time consumption = 0.451341s

unsuccessful step! iteration = 167 , error before = 62535.502618 , error next = 63098.932758 , error change = -563.430141 , lambda = 2.000000 , time consumption = 0.451178s

successful step! iteration = 168 , error before = 62535.502618 , error next = 62092.696038 , error change = 442.806580 , lambda = 0.200000 , time consumption = 0.451184s

unsuccessful step! iteration = 169 , error before = 62092.696038 , error next = 62650.491508 , error change = -557.795469 , lambda = 2.000000 , time consumption = 0.451219s

successful step! iteration = 170 , error before = 62092.696038 , error next = 61654.284281 , error change = 438.411757 , lambda = 0.200000 , time consumption = 0.449071s

unsuccessful step! iteration = 171 , error before = 61654.284281 , error next = 62206.526286 , error change = -552.242005 , lambda = 2.000000 , time consumption = 0.452363s

successful step! iteration = 172 , error before = 61654.284281 , error next = 61220.207338 , error change = 434.076943 , lambda = 0.200000 , time consumption = 0.450645s

unsuccessful step! iteration = 173 , error before = 61220.207338 , error next = 61766.973403 , error change = -546.766066 , lambda = 2.000000 , time consumption = 0.450914s

successful step! iteration = 174 , error before = 61220.207338 , error next = 60790.407746 , error change = 429.799591 , lambda = 0.200000 , time consumption = 0.450413s

unsuccessful step! iteration = 175 , error before = 60790.407746 , error next = 61331.772012 , error change = -541.364266 , lambda = 2.000000 , time consumption = 0.451618s

successful step! iteration = 176 , error before = 60790.407746 , error next = 60364.830389 , error change = 425.577357 , lambda = 0.200000 , time consumption = 0.450882s

unsuccessful step! iteration = 177 , error before = 60364.830389 , error next = 60900.863882 , error change = -536.033493 , lambda = 2.000000 , time consumption = 0.451269s

successful step! iteration = 178 , error before = 60364.830389 , error next = 59943.422304 , error change = 421.408085 , lambda = 0.200000 , time consumption = 0.450265s

unsuccessful step! iteration = 179 , error before = 59943.422304 , error next = 60474.193186 , error change = -530.770882 , lambda = 2.000000 , time consumption = 0.450342s

successful step! iteration = 180 , error before = 59943.422304 , error next = 59526.132518 , error change = 417.289786 , lambda = 0.200000 , time consumption = 0.449990s

unsuccessful step! iteration = 181 , error before = 59526.132518 , error next = 60051.706314 , error change = -525.573796 , lambda = 2.000000 , time consumption = 0.453665s

successful step! iteration = 182 , error before = 59526.132518 , error next = 59112.911889 , error change = 413.220629 , lambda = 0.200000 , time consumption = 0.451506s

unsuccessful step! iteration = 183 , error before = 59112.911889 , error next = 59633.351694 , error change = -520.439805 , lambda = 2.000000 , time consumption = 0.450675s

successful step! iteration = 184 , error before = 59112.911889 , error next = 58703.712967 , error change = 409.198923 , lambda = 0.200000 , time consumption = 0.449074s

unsuccessful step! iteration = 185 , error before = 58703.712967 , error next = 59219.079634 , error change = -515.366667 , lambda = 2.000000 , time consumption = 0.449902s

successful step! iteration = 186 , error before = 58703.712967 , error next = 58298.489859 , error change = 405.223107 , lambda = 0.200000 , time consumption = 0.450221s

unsuccessful step! iteration = 187 , error before = 58298.489859 , error next = 58808.842176 , error change = -510.352317 , lambda = 2.000000 , time consumption = 0.450711s

successful step! iteration = 188 , error before = 58298.489859 , error next = 57897.198119 , error change = 401.291740 , lambda = 0.200000 , time consumption = 0.451213s

unsuccessful step! iteration = 189 , error before = 57897.198119 , error next = 58402.592963 , error change = -505.394843 , lambda = 2.000000 , time consumption = 0.451621s

successful step! iteration = 190 , error before = 57897.198119 , error next = 57499.794632 , error change = 397.403488 , lambda = 0.200000 , time consumption = 0.450345s

unsuccessful step! iteration = 191 , error before = 57499.794632 , error next = 58000.287115 , error change = -500.492483 , lambda = 2.000000 , time consumption = 0.450608s

successful step! iteration = 192 , error before = 57499.794632 , error next = 57106.237516 , error change = 393.557115 , lambda = 0.200000 , time consumption = 0.453520s

unsuccessful step! iteration = 193 , error before = 57106.237516 , error next = 57601.881120 , error change = -495.643604 , lambda = 2.000000 , time consumption = 0.452625s

successful step! iteration = 194 , error before = 57106.237516 , error next = 56716.486038 , error change = 389.751478 , lambda = 0.200000 , time consumption = 0.453446s

unsuccessful step! iteration = 195 , error before = 56716.486038 , error next = 57207.332731 , error change = -490.846693 , lambda = 2.000000 , time consumption = 0.452041s

successful step! iteration = 196 , error before = 56716.486038 , error next = 56330.500523 , error change = 385.985515 , lambda = 0.200000 , time consumption = 0.453759s

